"facility_id","facility","location","town_or_city"
19,"HYDE PARK TERRACE APTS","3726 ALBANY POST RD HYDE PARK 12538","HYDE PARK"
20,"JEFFREY GROVES ESTATES SUBDIVISION","N CROSS RD (CO RTE 37) - N SIDE - E OF INDIAN KILL STAATSBURG 12580","HYDE PARK"
21,"PARTRIDGE GARDENS LLC","PARTRIDGE HILL RD HYDE PARK 12538","HYDE PARK"
22,"VICTORY LAKE CAMP","277 CRUM ELBOW RD Hyde Park 12538","HYDE PARK"
23,"LAGRANGE NOXON KNOLLS SD STP","132 SIMONE DR POUGHKEEPSIE 12603","LA GRANGE"
24,"PATHWAY MOTEL","454 FREEDOM PLAINS RD Poughkeepsie 12603","LA GRANGE"
25,"BILLINGS OPERATION","2296-2332 ST RTE 82 BILLINGS 12510","LA GRANGE"
26,"UNITED PARCEL DISTRIBUTION CENTER - Poughkeepsie","41 FIREMENS WAY POUGHKEEPSIE 12603","LA GRANGE"
27,"GILMOR GLASSWORKS","2 MAIN ST MILLERTON 12546","NORTHEAST"
28,"MILLERTON PLAZA","122 Rte 44|Millerton Square Plaza Millerton 12546","NORTHEAST"
29,"PLEASANT VALLEY QUARRY","410 North Ave Pleasant Vly 12569","PLEASANT VALLEY"
30,"VALLEY DALE STP","68 FOREST VALLEY RD PLEASANT VALLEY 12569","PLEASANT VALLEY"
31,"BARD COLLEGE","Annandale Rd & River Rd, W of St Rte 9G, E of the Hudson River ANNANDALE-ON-HUDSON 12504","RED HOOK"
32,"TIVOLI WWTF","26 PUBLIC WORKS DR Red Hook 12583","RED HOOK"
33,"UNIFICATION THEOLOGICAL SEMINARY (UTS)","RT 199 TO BARRYTOWN RD TO 30 SEMINARY DR BARRYTOWN 12507","RED HOOK"
34,"RIKERT COMMERCIAL DEVELOPMENT","ST RTE 9 Rhinebeck 12572","RHINEBECK"
35,"VANDERBURGH COVE SEWER DISTRICT NO 1","COVE RD RHINEBECK 12572","RHINEBECK"
36,"182 OLD RTE 9 WAREHOUSE","182 OLD RTE 9 WAPPINGERS FALLS 12590","WAPPINGER"
37,"NEW HACKENSACK REFORMED CHURCH","1580 RTE 376 WAPPINGERS FALLS 12590","WAPPINGER"
38,"HAMPTON BUSINESS CENTER","1611 US RTE 9 WAPPINGERS FALLS 12590","WAPPINGER"
39,"CREEKSIDE PLAZA","1821 RTE 376 WAPPINGERS FALLS 12590","WAPPINGER"
40,"MIDPOINT PARK SD/ROYAL RIDGE","MARTIN DR - N END WAPPINGERS FALLS 12590","WAPPINGER"
41,"WILDWOOD SD (L&A)","NEW HACKENSACK RD WAPPINGERS FALLS 12590","WAPPINGER"
42,"MILLBROOK SEWAGE TREATMENT PLANT","39 NORTH AVE Millbrook 12545","WASHINGTON"
43,"PORT JERVIS CITY HIGH SCHOOL","10 US RTE 209 PORT JERVIS 12771","DEERPARK"
44,"ROUND HILL ELEMENTARY SCHOOL","205 ST RTE 208 BLOOMING GROVE 10914","BLOOMING GROVE"
45,"WASHINGTONVILLE - V WWTF","3 Walt Cole Blvd Washingtonville 10992","BLOOMING GROVE"
46,"STORM KING SCHOOL","314 MOUNTAIN RD CORNWALL ON HUDSON 12520","CORNWALL"
47,"CRAWFORD PINE BUSH STP","57 HARDENBURGH RD AT SHAWANGUNK KILL PINE BUSH 12566","CRAWFORD"
48,"CIRCLEVILLE MIDDLE & PAKANASINK ELEMENTARY SCHOOLS","1951 & 1953 ST RTE 302 CIRCLEVILLE","CRAWFORD"
49,"THE SENTINEL","2247 GREENVILLE TPKE PORT JERVIS 12771","DEERPARK"
50,"GOSHEN QUARRY","320 RTE 17A GOSHEN 10924","GOSHEN"
51,"GOSHEN WATER FILTRATION PLANT","76 LOWER RESERVOIR RD GOSHEN 10924","GOSHEN"
52,"MACK BROTHERS","ONE 6½ STATION RD Goshen 10924","GOSHEN"
53,"GOSHEN SECURE CENTER","97 Cross Rd Goshen 10924","GOSHEN"
54,"AMY BULL CRIST EDUCATION CTR","53 GIBSON RD GOSHEN 10924","GOSHEN"
55,"THE VALLEY VIEW CENTER FOR NURSING CARE AND REHABILITATION","2 Glenmere Cove Rd Goshen 10921","GOSHEN"
56,"CAMPBELL HALL HEALTH CARE CENTER","23 KIERNAN RD CAMPBELL HALL 10916","HAMPTONBURGH"
57,"HIGHLANDS SEWER IMPROVEMENT AREA","31-71 MINE DOCK RD HIGHLANDS 10928","HIGHLANDS"
58,"ROCK TERRACE MOBILE HOME PARK","153 Mine Rd Highland Falls 10928","HIGHLANDS"
59,"WEST POINT US ARMY GARRISON","606 THAYER RD WEST POINT 10996","CORNWALL:HIGHLANDS:WOODBURY"
60,"NOB HILL MOBILE HOME PARK","JERSEY AVE UNIONVILLE 10988","MINISINK"
61,"SAPPHIRE ELEMENTARY SCH","159 HARRIMAN HEIGHTS RD MONROE","MONROE"
62,"MARYCREST CONVENT PARISH","QUAKER HILL RD MONROE 10950","MONROE"
63,"AMPAC PAPER LLC","30 COLDENHAM RD WALDEN 12586","MONTGOMERY"
64,"HOLIDAY MOBILE HOME PARK","Holiday Park Rd Montgomery 12586","MONTGOMERY"
65,"MAYBROOK WWTP","978 Homestead Ave Maybrook 12543","MONTGOMERY"
66,"VILLAGE OF MONTGOMERY STP","BACHELOR ST - W END MONTGOMERY 12549","MONTGOMERY"
67,"SLEEPY HOLLOW MOBILE PARK INC","536 RT 17K WALDEN 12586","MONTGOMERY"
68,"VILLAGE OF WALDEN STP","16 BRADLEY LN WALDEN 12586","MONTGOMERY"
69,"OTISVILLE FEDERAL CORRECTIONAL FACILITY","TWO MILE DR OTISVILLE 10963","MOUNT HOPE"
70,"HIDDEN VALLEY ESTATES - SD NO 1 STP","30 HEATHER LN OTISVILLE 10963","MOUNT HOPE"
71,"ROSETON TERMINAL","924 RIVER RD NEWBURGH 12550","NEWBURGH"
72,"MODENA SERVICE AREA","I-90 - WEST SIDE BETWEEN EXITS 17 & 18 MODENA","NEWBURGH"
73,"CHADWICK LAKE WATER FILTRATION PLANT","343 RTE 32|PLATTEKILL TPKE NEWBURGH 12550","NEWBURGH"
74,"NEWBURGH NOB HILL SEWER DIST","FOSTERTOWN RD - N SIDE - E OF FROZEN LN NEWBURGH 12550","NEWBURGH"
75,"PLATTEKILL SERVICE AREA","I-87 - MILEPOST 64.8 NB|BETWEEN EXITS 17 & 18 PLATTEKILL","NEWBURGH"
76,"BT INC","1 BRITTANY TER NEW WINDSOR 12575","NEW WINDSOR"
77,"WINDEMERE ESTATES","1 Nevis Dr New Windsor 12553","NEW WINDSOR"
78,"Caesars Lane Wastewater Treatment Plant","CAESARS LN NEW WINDSOR 12550","NEW WINDSOR"
79,"NYU HOUSING WWTP","WARWICK BROOK RD TUXEDO 10987","TUXEDO"
80,"PALISADES LAKE TIORATI BEACH","TIORATI BROOK RD HARRIMAN","TUXEDO"
81,"TUXEDO HEIGHTS CONDOMINIUM","1200 PARKVIEW DR SOUTHFIELDS 10975","TUXEDO"
82,"TUXEDO PARK STP","WEE WAH RD - N END WEE WAH LAKE TUXEDO PARK 10987","TUXEDO"
83,"JCI JONES CHEMICALS INC","103 RIVER ST Warwick 10990","WARWICK"
84,"MOUNTAIN LAKE PARK","46 BOWEN RD WARWICK 10990","WARWICK"
85,"WARWICK SEWER DIS 1 STP","50 STATE SCHOOL RD |E SIDE @ BEND TO WEST WARWICK 10990","WARWICK"
86,"WARWICK STP","RIVER ST Warwick 10990","WARWICK"
87,"MINISINK VALLEY CENTRAL SCHOOL","US RTE 6 - S SIDE - BETW CO RTES 22 & 93 SLATE HILL 10973","WAWAYANDA"
88,"SLATE HILL MINE","3080 US Rte 6 SLATE HILL 10973","WAWAYANDA"
89,"WAWAYANDA RIDGEBURY LAKE ACRES SEWER DIS","52 VIEW POINT DR SLATE HILL 10973","WAWAYANDA"
90,"WAWAYANDA ROBINN MEADOWS WWTP","ROBINN DR OFF POCATELLO RD SLATE HILL 10973","WAWAYANDA"
91,"SPEYSIDE QUARRY","911 ST RTE 32| W Side - S Of I-87 Woodbury 10930","WOODBURY"
92,"THEVENET MONTESSORI SCHOOL","20 BETHANY DR HIGHLAND MILLS 10930","WOODBURY"
93,"WOODBURY VALLEY FORGE SEWER DIS 1 STP","Washington Dr Woodbury 10930","WOODBURY"
94,"CARMEL HILLSDALE ESTATES STP","CARY ST - OFF ST RTE 6N MAHOPAC 10541","CARMEL"
95,"CARMEL SD #2 STP","US RTE 6 & BREWSTER AVE CARMEL 10541","CARMEL"
96,"CLEAR POOL CAMP","CLEAR POOL RD CARMEL 10512","KENT"
97,"COUNTRY MANOR STP","DAHLIA DR MAHOPAC 10541","CARMEL"
98,"MAHOPAC WWTP","35 MUD POND RD MAHOPAC 10541","CARMEL"
99,"SURPRISE LAKE CAMP","382 LAKE SURPRISE RD COLD SPRING 10516","PHILIPSTOWN"
100,"THE WALTER HOVING HOME","10-40 AVERY RD GARRISON 10524","PHILIPSTOWN"
101,"BREWSTER - V STP","40 PARK ST BREWSTER 10509","SOUTHEAST"
102,"MOUNT EBO SEWER WORKS","85 FIELDSTONE DR BREWSTER 10509","SOUTHEAST"
103,"BLACKBERRY HILL SANITARY SD STP","SCOTT PL & NOEL CT BREWSTER 10509","SOUTHEAST"
104,"BREWSTER HEIGHTS WWTP","70 PUTNAM AVE BREWSTER 10509","SOUTHEAST"
105,"LAKE DEFOREST WATER TREATMENT PLANT","55 OLD MILL RD WEST NYACK 10994","CLARKSTOWN"
106,"WEST NYACK QUARRY","1 Crusher Rd West Nyack 10994","CLARKSTOWN"
107,"BOWLINE GENERATING STATION","140 SAMSONDALE AVE Haverstraw 10993","HAVERSTRAW"
108,"TILCON QUARRIES HAVERSTRAW PLANT","66 SCRATCHUP RD NEW CITY 10956","HAVERSTRAW"
109,"WILLOW GROVE TRAILER PARK","451 CALL HOLLOW RD|HOLLOW & WILLOW GROVE RDS STONY POINT 10980","HAVERSTRAW"
110,"PEARL RIVER CAMPUS LLC","401 N MIDDLETOWN RD PEARL RIVER 10965","ORANGETOWN"
111,"LINDE ADVANCED MATERIAL TECHNOLOGIES","542 ST RTE 303 Orangetown 10962","ORANGETOWN"
112,"NYS SLOATSBURG-RAMAPO SERVICE AREA","I-87 THRUWAY - MP 33 SOUTH Ramapo","RAMAPO"
113,"BAKER CAMP CLUB STP","Seven Lakes Dr Haverstraw 10970","HAVERSTRAW"
114,"PALISADES BEAR MOUNTAIN STP","US RTE 9W - E SIDE - S OF SEVEN LAKES RD BEAR MOUNTAIN 10911","STONY POINT"
115,"TILCON -TOMKINS COVE QUARRY","ELM ST - S SIDE - N OF BATTLEFIELD RD TOMKINS COVE 10986","STONY POINT"
116,"STONY POINT FACILITY","70 GRASSY POINT RD Stony Point 10980","STONY POINT"
117,"SWISS FOREST SUBDIVISION","SHANDELEE RD LIVINGSTON MANOR 12758","CALLICOON"
118,"LAKE HUNTINGTON SEWER DIST","OLSEN RD LAKE HUNTINGTON 12752","COCHECTON"
119,"VILLA ROMA RESORT","356 Villa Roma Rd Callicoon 12723","DELAWARE"
120,"LOCH SHELDRAKE WWTP","1077 ST RTE 52 | N OF EVENS LAKE LOCH SHELDRAKE 12759","FALLSBURGH"
121,"MOUNTAIN DALE WWTP","CHURCH RD - OPPOSITE LAUREL MOUNTAIN DALE 12763","FALLSBURGH"
122,"SOUTH FALLSBURG WWTP","ST RTE 42 - E SIDE - N OF WILLOW HEIGHTS RD SOUTH FALLSBURG 12779","FALLSBURGH"
123,"AVON WWTP","274 RIVER RD WOODRIDGE 12789","FALLSBURGH"
124,"VORSTADT PROPERTY","121 HIGHLAND LAKE RD HIGHLAND LAKE 12743","HIGHLAND"
125,"MAPLECREST","1 MAPLECREST RD YULAN 12792","HIGHLAND"
126,"CAMP AGUDAH","140 UPPER FERNDALE RD FERNDALE 12734","LIBERTY"
127,"CAMP BNOS","344 FERNDALE LOOMIS RD LIBERTY","LIBERTY"
128,"CAMP GAN ISRAEL","487 Parksville Rd Parksville 12768","LIBERTY"
129,"CAMP GILA","5335 RTE 55 LIBERTY 12754","LIBERTY"
130,"TFS PARKSVILLE LLC","437-440 PARKSVILLE RD LIBERTY 12768","LIBERTY"
131,"LIBERTY LOOMIS SEWER DIST STP","LAKE MARIE RD|(2851 ST RTE 52W) LIBERTY 12754","LIBERTY"
132,"SWAN LAKE SD STP","SWAN LAKE RD - S OF TOWN LINE LIBERTY 12754","LIBERTY"
133,"MORRY'S CAMP","267 BARNES RD GLEN SPEY 12737","LUMBERLAND"
134,"GIRL SCOUT CAMP GLEN SPEY","21 PIERCE RD Glen Spey 12737","LUMBERLAND"
135,"CAMP CHAYEI SURA","505 HIGH ST GLEN SPEY 12737","LUMBERLAND"
136,"CAMP SIMCHA","430 White Rd Glen Spey 12737","LUMBERLAND"
137,"NYCDEP - GRAHAMSVILLE WASTEWATER TREATMENT PLANT","ST RTES 42 & 55|REYNOLDS RD GRAHAMSVILLE 12740","NEVERSINK"
138,"MONGAUP POND CAMPGROUND","MONGAUP POND RD LIVINGSTON MANOR 12758","ROCKLAND"
139,"ROSCOE SEWER TREATMENT PLANT","2255 OLD RTE 17 - S OF COUNTY LINE ROSCOE 12776","ROCKLAND"
140,"BROOKSIDE TRAILER PARK","394 ST RTE 17B MONTICELLO 12701","THOMPSON"
141,"CAMP KENNYBROOK","MAPLEWOOD RD - 1.5 MIS FROM ST RTE 17B MONTICELLO 12701","THOMPSON"
142,"CLEARVIEW MOUNTAIN COUNTRY CLUB","460 OLD LIBERTY RD MONTICELLO 12701","THOMPSON"
143,"FREED'S COLONY","506 OLD LIBERTY RD MONTICELLO 12701","THOMPSON"
144,"KIAMESHA LAKE SD STP","Rock Ridge Dr|At Golden Ridge Rd Thompson 12701","THOMPSON"
145,"SULLIVAN INFRA WEST INC","KUTSHER RD MONTICELLO 12701","THOMPSON"
146,"ROSEWOOD COTTAGES","OLD LIBERTY RD THOMPSONVILLE 12784","THOMPSON"
147,"SULLIVAN COUNTY LANDFILL","91 LANDFILL DR Monticello 12701","THOMPSON"
148,"THOMPSON MELODY LAKE SEWER DISTRICT STP","HEMLOCK LN - S SIDE - W OF PINE LN MONTICELLO 12701","THOMPSON"
149,"THOMPSON SACKETT LAKE SEWER DIS STP","754 SACKETT LAKE RD Thompson 12701","THOMPSON"
150,"NARROWSBURG SEWER DISTRICT STP","210 BRIDGE ST NARROWSBURG 12764","TUSTEN"
151,"KINGSTON WWTF","91-129 E STRAND ST KINGSTON 12401","KINGSTON"
152,"WOODCREST COMMUNITY","101 Woodcrest Dr RIFTON 12471","ESOPUS"
153,"MARIST BROTHERS RETREAT HOUSE","1301 RTE 9W ESOPUS 12429","ESOPUS"
154,"THE MOUNT COMMUNITY","825 BROADWAY Esopus 12429","ESOPUS"
155,"GARDINER SEWER DIST 1 STP","FARMERS TPKE AT WALL KILL GARDINER 12525","GARDINER"
156,"DAI BOSATSO ZENDO (ZEN STUDIES CENTER)","223 BEECHER LAKE RD LIVINGSTON MANOR 12758","HARDENBURGH"
157,"ERNEST C MYER SCHOOL","MILLBROOK AVE HURLEY 12443","HURLEY"
158,"Cedar Development East Apartments","97 Cedar St West Hurley 12491","HURLEY"
159,"HIGHLAND RESIDENTIAL CENTER","629 N CHODIKEE LAKE RD Lloyd 12569","LLOYD"
160,"CHARLES RIVER LABORATORY","3121 NYS RTE 209 STONE RIDGE 12484","MARBLETOWN"
161,"MARLBORO STP","115 Dock Rd Marlboro 12542","MARLBOROUGH"
162,"LAKE MOHONK MOUNTAIN HOUSE","1000 MOUNTAIN REST RD|MOHONK LAKE NEW PALTZ 12561","MARBLETOWN"
163,"NEW PALTZ DUZINE SCHOOL","SUNSET RIDGE RD NEW PALTZ 12561","NEW PALTZ"
164,"NEW PALTZ HIGH SCHOOL","130 S PUTT CORNERS RD NEW PALTZ 12561","NEW PALTZ"
165,"MOUNTAINVIEW NURSING & REHABILITATION CENTER","1 JANSEN RD NEW PALTZ 12561","NEW PALTZ"
166,"NEW PALTZ OHIOVILLE SEWER DIST 6 STP","OHIOVILLE RD - E SIDE - N OF NEW PALTZ RD NEW PALTZ 12561","NEW PALTZ"
167,"ASHOKAN RESERVOIR","2389 ST RTE 28A SHOKAN 12481","OLIVE"
168,"ALOHA HOME ACRES","8 Kona Ln|AKA ST RTE 32 @ US RTE 44 MODENA 12548","PLATTEKILL"
169,"NYC NEWBURGH KOA CAMPGROUND","119 FREETOWN HWY PLATTEKILL 12568","PLATTEKILL"
170,"RESORT AT ACCORD","99 MILL HOOK RD ACCORD 12404","ROCHESTER"
171,"HUDSON VALLEY RESORT & SPA","400 GRANITE RD KERHONKSON 12446","ROCHESTER"
172,"RONDOUT VALLEY HIGH SCHOOL","122 KYSERIKE RD ACCORD 12404","ROCHESTER"
173,"RONDOUT MUNICIPAL CENTER","1915 LUCAS AVE ROSENDALE 12404","ROSENDALE"
174,"ROSENDALE WWT FACILITY","136 CREEK LOCKS RD ROSENDALE 12472","ROSENDALE"
175,"HOWARD JOHNSONS LODGE & RESTAURANT","2764 ST RTE 32 - N OF THRUWAY EXIT 20 SAUGERTIES 12477","SAUGERTIES"
176,"MALDEN SERVICE AREA","I-87 MP 103 NORTHBOUND - THRUWAY SAUGERTIES","SAUGERTIES"
177,"GRANT D MORSE ELEMENTARY SCHOOL","70 HARRY WELLS RD SAUGERTIES 12477","SAUGERTIES"
178,"SAUGERTIES MALDEN-ON-HUDSON S D STP","RIVERSIDE DR - N END SAUGERTIES 12477","SAUGERTIES"
179,"ULSTER LANDING MOBILE HOME COURT","711 ULSTER LANDING RD SAUGERTIES 12477","ULSTER"
180,"BELLEAYRE MTN SKI CENTER","181 GALLI CURCI RD|ST RTE 28 @ CO RTE 49A HIGHMOUNT 12441","SHANDAKEN"
181,"SHAWANGUNK WALLKILL SEWER DISTRICT","HOFFMAN RD WALLKILL 12589","SHAWANGUNK"
182,"WATCHTOWER BIBLE & TRACT SOCIETY","900 RED MILLS RD WALLKILL 12589","SHAWANGUNK"
183,"KINGSTON-RHINECLIFF BRIDGE","ST RTE 199 OVER THE HUDSON RIVER ULSTER","ULSTER"
184,"PALMER CENTER","1111 FLATBUSH RD KINGSTON 12401","ULSTER"
185,"ULSTER SERVICE AREA","I-87 MP 96 SOUTHBOUND - THRUWAY ULSTER","ULSTER"
186,"ULSTER WHITTIER SEWER DIS STP","380 ULSTER LANDING RD - N OF ST RTE 199 KINGSTON 12401","ULSTER"
187,"CAMP BNOS BELZ","385 BRIGGS HWY ELLENVILLE 12428","WAWARSING"
188,"CAMP RAV TOV-DAIRYLAND","ST RTE 52 - W BRANCH BEERKILL CRK DAIRYLAND","WAWARSING"
189,"ELLENVILLE STP","EDWARDS PL EXT @ SANDBURG CK ELLENVILLE 12428","WAWARSING"
190,"YESHIVA OF OCEAN","10 TAMARACK RD  (RTE 52) GREENFIELD PARK 12435","WAWARSING"
191,"CAMP HORIM","148 MOUNTAINDALE RD GREENFIELD PARK 12435","WAWARSING"
192,"KERHONKSON WWTF - KERHONKSON SD","1421 BERME RD ELLENVILLE 12428","WAWARSING"
193,"NAPANOCH SEWER IMPROVEMENT AREA","INSTITUTION RD|PLANK RD - N SIDE - NW OF INSTITUTION RD NAPANOCH 12458","WAWARSING"
194,"KINGSTON WATER TREATMENT PLANT","1442 SAW KILL RD (CO RTE 30) WOODSTOCK 12401","WOODSTOCK"
195,"WOODSTOCK STP","ST RT 212 - S SIDE - W OF ZENA RD WOODSTOCK 12498","WOODSTOCK"
196,"40 CANAL LLC","40 CANAL ST Mt Vernon 10550","MOUNT VERNON"
197,"ECHO BAY YACHT CLUB INC","ECHO BAY ISLAND NEW ROCHELLE 10802","NEW ROCHELLE"
198,"Furnace Woods Elementary School","239 Watch Hill Rd Cortlandt Manor 10567","CORTLANDT"
199,"WHEELABRATOR WESTCHESTER LP","1 CHARLES PT AVE Peekskill 10566","PEEKSKILL"
200,"VALERIA SEWER TREATMENT PLANT","340 FURNACE DOCK RD CORTLAND 13045","CORTLANDT"
201,"AMERICAN SUGAR REFINING INC","1 FEDERAL ST Yonkers 10705","YONKERS"
202,"BEDFORD PARK APTS AT WESTCHESTER","ROME AVE BEDFORD 10507","BEDFORD"
203,"INCREASE MILLER ELEMENTARY SCH","186 WACCABUC RD GOLDENS BRIDGE 10526","LEWISBORO"
204,"SAINT MARY THE ASSUMPTION SCHOOL","99 VALLEY RD KATONAH 10536","BEDFORD"
205,"BUCHANAN - V STP","6TH ST - RIVER END BUCHANAN 10511","CORTLANDT"
206,"INDIAN POINT ENERGY CENTER","450 BROADWAY BUCHANAN 10511","CORTLANDT"
207,"WALTER PANUS HIGH SCHOOL","300 CROTON AVE CORTLANDT MANOR 10566","CORTLANDT"
208,"SPRINGVALE WWTP","SKYTOP DR CROTON-ON-HUDSON 10520","CORTLANDT"
209,"VA HUDSON VALLEY HEALTH CARE SYSTEM","2094 ALBANY POST RD & ST RTE 9A Montrose 10548","CORTLANDT"
210,"LEWISBORO ELEMENTARY SCH","79 BOUTON RD SOUTH SALEM 10590","LEWISBORO"
211,"OAKRIDGE TREATMENT PLANT","400 OAKRIDGE DR SOUTH SALEM 10590","LEWISBORO"
212,"WACCABUC COUNTRY CLUB","90 MEAD ST OPPOSITE POST WACCABUC 10597","LEWISBORO"
213,"WILD OAKS SEWER DISTRICT","101 NASH RD GOLDENS BRIDGE 10526","LEWISBORO"
214,"ARBORS CONDOMINIUMS","POND DR OFF BIG MEADOW LN HYDE PARK 10532","HYDE PARK"
215,"BYRAM HILLS HIGH SCHOOL","12 TRIPP LN ARMONK 10504","NORTH CASTLE"
216,"FOX HOLLOW SEWER CO","CROTON LAKE  & SEWAGE TREATMENT PLANT RDS MT KISCO 10549","NEW CASTLE"
217,"RANDOM FARMS ASSOCIATION","75 GREELEY AVE CHAPPAQUA 10545","NEW CASTLE"
218,"METALLIZED CARBON CORPORATION","19 S WATER ST Ossining 10562","OSSINING"
219,"STONE GATE MOTEL EFFICIENCIES","1437 US RTE 9 |US RTE 9 & OLD POST RD WAPPINGERS FALLS","WAPPINGER"
220,"WINGDALE QUARRY","3206 PLEASANT RIDGE RD Dover 12594","DOVER"
221,"BLUE MOUNTAIN WATER FILTRATION FACILITY","VAN VLIERDEN RD @ CARRELIS RD BLUE MOUNTAIN 12477","SAUGERTIES"
222,"MICHELLE ESTATES REALTY SUBDIVISION","ST RTES 121, 124 & 35 LEWISBORO 10549","LEWISBORO"
223,"YESHIVA CAMP KARLIN STOLIN","775 N CHODIKEE LK RD Highland","LLOYD"
224,"HOSTEL 2040","6 Academy St Amenia 12592","AMENIA"
225,"NEW HOPE MANOR, INC.","35 HILLSIDE RD BARRYVILLE 12719","HIGHLAND"
226,"QUALITY INN","114 St Rte 28 Kingston 12401","ULSTER"
227,"HUNTER'S GLEN","FAIR ST CARMEL 10512","SOUTHEAST"
228,"ALTONA CORRECTIONAL FACILILTY","555 DEVILS DEN RD Altona 12910","ALTONA"
229,"KEESEVILLE WASTEWATER TREATMENT PLANT","1858 US RTE 9 (N AUSABLE ST) KEESEVILLE 12944","AUSABLE"
230,"BEEKMANTOWN CENTRAL SCHOOL","37 EAGLE WAY|Off Spellman Rd WEST CHAZY","BEEKMANTOWN"
231,"CHAMPLAIN WWTP","45 RIVER ST Champlain 12919","CHAMPLAIN"
232,"NORTHSTAR FACILITY","641 RIDGE RD CHAZY 12921","CHAZY"
233,"PERU STP","24 SUNRISE DR Peru 12972","PERU"
234,"VALCOUR SD WWTF","47 SPITFIRE DR PERU 12972","PERU"
235,"Plattsburgh Organics Recycling Plant","REEVES LN PLATTSBURGH 12901","PLATTSBURGH"
236,"NORTHWAY MOBILE HOME PARK","ST RTE 22, N OF 6231 ST RTE 22 Plattsburgh(t) 12901","PLATTSBURGH"
237,"Champlain Valley Family Center","518 Norrisville Rd Schuyler Falls 12985","SCHUYLER FALLS"
238,"WINEBROOK HILLS SD WWTP","43 HANMER LN NEWCOMB 12852","NEWCOMB"
239,"Olympic Jumping Complex","52 SKI JUMP LN|ST RTE 73 - S SIDE - W OF W BRANCH AUSABLE RIVER LAKE PLACID 12946","NORTH ELBA"
240,"LAKE PLACID WPCP","153 Powerhouse Ln Lake Placid 12946","NORTH ELBA"
241,"NYS POLICE TROOP B HEADQUARTERS","1097 ST RTE 86 RAYBROOK 12977","NORTH ELBA"
242,"SARANAC LAKE STP","680 ST RTE 3 SARANAC LAKE 12983","ST ARMAND"
243,"Sylvamo Ticonderoga Mill","568 SHORE AIRPORT RD TICONDEROGA 12883","TICONDEROGA"
244,"IMERYS WOLLASTONITE PLANT","803 MOUNTAIN VIEW DR Willsboro 12996","WILLSBORO"
245,"Village of Chateaugay Wastewater Treatment Plant","161 CO RTE 35 - W SIDE - 0.6 MI NW OF US RTE 11 CHATEAUGAY 12920","CHATEAUGAY"
246,"CHATEAUGAY FISH HATCHERY","122 FISH HATCHERY RD OFF US RTE 11 CHATEAUGAY 12920","CHATEAUGAY"
247,"HIGH STREET FT COVINGTON STP","44 HIGH ST |ST RTE 37 - HOPKINS PT FORT COVINGTON 12937","FORT COVINGTON"
248,"SALMON RIVER CENTRAL SCHOOL","637 CO RTE 1 FORT COVINGTON 12937","FORT COVINGTON"
249,"ADIRONDACK FISH CULTURE STATION","103 FISH HATCHERY RD Santa Clara 12983","SANTA CLARA"
250,"SUNSET BAY VACATION RESORT","353 PARADISE POINT RD Mayfield 12117","MAYFIELD"
251,"INDIAN LAKE SD","BRIAN ST INDIAN LAKE 12842","INDIAN LAKE"
252,"LAKE DURANT CAMPGROUND","ST RTES 28 & 30 - S SIDE|3 MI E OF BLUE MOUNTAIN LK BLUE MTN LAKE 12842","INDIAN LAKE"
253,"LIMEKILN LAKE CAMPGROUND","CO RTE 14 (LIMEKILN RD)|S END INLET 13360","INLET:OHIO"
