"npdes_id","facility_id","application_id","applicant","applicant_id","permit_type","status","date_received","upa_class","seqr_class","seqr_determination","lead_agency","coastal_zone_status","final_disposition","permit_effective_date","permit_expration_date","dec_contact","shpa_status","enivronmental_justice"
"NY0000523",710,"8-5446-00002/00002","MOTTS LLP",596,"Industrial SPDES - Surface Discharge","Issued",2024-02-13,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-09-01 04:00:00,2029-08-31 04:00:00,"ELISE A FERENCEVYCH",NA,NA
"NY0000566",1210,"7-3148-00031/00073","RACER PROPERTIES LLC",1016,"Industrial SPDES - Surface Discharge","Issued",2022-02-25,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-09-01 04:00:00,2027-08-31 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0000574",536,"9-1464-00048/00004","GENERAL MOTORS LLC",452,"Industrial SPDES - Surface Discharge","Final Decision Due",2022-07-28,"MAJOR","Unlisted Action","Negative Declaration","None Designated","This project is not located in a Coastal Management area.",NA,NA,NA,"KRISTINE M CARLSON","The proposed activity is not subject to review in accordance with SHPA. The permit type is exempt or the activity is being reviewed in accordance with federal historic preservation regulations.","The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0000612",617,"8-2628-00068/00001","ROCHESTER GAS AND ELECTRIC CORPORATION",518,"Industrial SPDES - Surface Discharge","Issued",2023-12-01,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-06-01 04:00:00,2029-05-31 04:00:00,"TERESS BALDWIN",NA,NA
"NY0000622",1232,"7-3156-00030/00001","ENERGY TRANSFER MARKETING & TERMINALS L.P.",902,"Industrial SPDES - Surface Discharge","Issued",2023-08-02,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-05-22 04:00:00,2029-04-30 04:00:00,"ELISE A FERENCEVYCH",NA,NA
"NY0000728",415,"6-4058-00027/00001","NEW YORK POWER AUTHORITY",324,"Industrial SPDES - Surface Discharge","Final Decision Due",2024-09-24,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.",NA,NA,NA,"KATHERINE M MURRAY",NA,NA
"NY0000850",376,"6-3013-00052/00001","THE WORTHINGTON STEEL ROME LLC",314,"Industrial SPDES - Surface Discharge","Issued",2020-09-16,"MAJOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-09-01 04:00:00,2027-08-31 04:00:00,"TERRY R TYOE",NA,"The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0000957",336,"6-2218-00017/00001","KNOWLTON TECHNOLOGIES LLC",282,"Industrial SPDES - Surface Discharge","Issued",2021-05-20,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-01-01 05:00:00,2026-12-31 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0001007",695,"8-4672-00011/00001","DOYLE ACQUISITION CORP",583,"Industrial SPDES - Surface Discharge","Issued",2022-12-15,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-07-03 04:00:00,2028-06-30 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0001031",667,"8-4522-00001/00001","BUCKEYE TERMINALS, LLC",72,"Industrial SPDES - Surface Discharge","Suspended Indefinitely",2024-08-29,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.",NA,NA,NA,"KATHERINE M MURRAY",NA,NA
"NY0001147",649,"8-3238-00009/00002","L & D ACQUISITION, LLC",546,"Industrial SPDES - Surface Discharge","Issued",2022-05-04,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-05-13 04:00:00,2029-04-30 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0001163",784,"7-3126-00018/00021","CARRIER CORPORATION",662,"Industrial SPDES - Surface Discharge","Issued",2022-03-03,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-12-06 05:00:00,2027-11-30 05:00:00,"THOMAS A RASCONA",NA,NA
"NY0001309",1193,"9-0464-00009/00003","7167 Route 353 Catt LLC",1006,"Industrial SPDES - Surface Discharge","Issued",2023-08-11,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-12-29 05:00:00,2028-01-31 05:00:00,"LISA M CZECHOWICZ",NA,NA
"NY0001325",717,"8-5736-00004/00001","GREENIDGE GENERATION LLC",602,"Industrial SPDES - Surface Discharge","SAPA Extended",2022-09-26,"MINOR","Unlisted Action","Negative Declaration","None Designated","This project is not located in a Coastal Management area.","Modify Permit",2022-09-27 04:00:00,2022-09-30 04:00:00,"DANIEL T WHITEHEAD",NA,NA
"NY0001490",383,"6-3030-00005/00015","OMEGA WIRE, INC.",321,"P/C/I SPDES - Surface Discharge","Issued",2021-08-25,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-12-10 05:00:00,2029-11-30 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0001538",616,"8-2626-00006/00001","BUCKEYE ROCHESTER TERMINAL LLC",517,"Industrial SPDES - Surface Discharge","Issued",2020-03-18,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2020-12-11 05:00:00,2025-11-30 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0001601",534,"9-1464-00031/00004","DUPONT SPECIALTY PRODUCTS USA, LLC",451,"Industrial SPDES - Surface Discharge","Suspended Indefinitely",2024-12-09,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.",NA,NA,NA,"KATHERINE M MURRAY",NA,NA
"NY0001694",671,"8-4532-00006/00036","ITT GOULDS PUMPS INC",567,"Industrial SPDES - Surface Discharge","Suspended Indefinitely",2024-07-02,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.",NA,NA,NA,"TERESS BALDWIN",NA,NA
"NY0001732",413,"6-4058-00003/00001","Arconic US LLC",348,"Industrial SPDES - Surface Discharge","Issued",2022-12-06,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-08-29 04:00:00,NA,"JESSICA J HART",NA,NA
"NY0001856",399,"6-4026-00001/00056","Newton Falls Land Reclamation, LLC",335,"Industrial SPDES - Surface Discharge","Issued",2023-05-03,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-03-01 05:00:00,2029-02-28 05:00:00,"ELISE A FERENCEVYCH",NA,NA
"NY0001899",1632,"9-1456-00073/00001","NIAGARA SPECIALTY METALS, INC.",1352,"Industrial SPDES - Surface Discharge","Issued",2024-04-18,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-12-01 05:00:00,2029-11-30 05:00:00,"ELISE A FERENCEVYCH",NA,NA
"NY0001902",800,"7-3504-00016/00005","HUHTAMAKI, INC.",675,"Industrial SPDES - Surface Discharge","Issued",2024-10-08,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2025-05-01 04:00:00,2030-04-30 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0002097",719,"8-5736-00007/00009","VIBRANTZ CORPORATION",604,"Industrial SPDES - Surface Discharge","Issued",2023-01-26,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-01-08 05:00:00,2028-12-31 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0002267",1037,"9-5620-00027/00001","PRESTOLITE ELECTRIC INCORPORATED",881,"Industrial SPDES - Surface Discharge","Issued",2023-06-27,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-05-01 04:00:00,2029-04-30 04:00:00,"THOMAS A RASCONA",NA,NA
"NY0002275",788,"7-3132-00002/00002","HONEYWELL INTERNATIONAL INC.",666,"Industrial SPDES - Surface Discharge","Issued",2021-08-05,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-02-01 05:00:00,2027-01-31 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0002402",636,"8-2654-00064/00035","XEROX CORPORATION",536,"Industrial SPDES - Surface Discharge","Issued",2022-06-30,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-01-01 05:00:00,2027-12-31 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0002461",420,"6-4062-00002/00015","BARRETT PAVING MATERIALS INC.",318,"Industrial SPDES - Surface Discharge","Issued",2023-10-24,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-09-01 04:00:00,2029-08-31 04:00:00,"KATHERINE M MURRAY",NA,NA
"NY0002518",449,"9-0250-00005/00006","SAPUTO CHEESE USA INC.",375,"Industrial SPDES - Surface Discharge","Issued",2023-06-30,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-04-01 04:00:00,2029-03-31 04:00:00,"THOMAS A RASCONA",NA,NA
"NY0002551",610,"8-2614-00125/00001","SUNOCO PARTNERS MARKETING & TERMINALS LP",511,"Industrial SPDES - Surface Discharge","Issued",2021-09-13,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-07-01 04:00:00,2027-06-30 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0002577",663,"8-3438-00010/00002","MIZKAN AMERICA INC",562,"Industrial SPDES - Surface Discharge","Issued",2022-03-01,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-03-01 05:00:00,2028-02-29 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0002607",358,"6-2246-00004/00001","HP HOOD LLC",298,"Industrial SPDES - Surface Discharge","Issued",2021-02-25,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2021-11-01 04:00:00,2026-10-31 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0002712",506,"9-1430-00017/00002","CALSPAN CORPORATION",429,"Industrial SPDES - Surface Discharge","Completeness Determination Due",2025-01-14,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.",NA,NA,NA,"KATHERINE M MURRAY",NA,NA
"NY0002763",409,"6-4048-00001/00003","NORTH COUNTRY DAIRY LLC",344,"Industrial SPDES - Surface Discharge","Issued",2023-02-15,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-01-01 05:00:00,2028-12-31 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0002836",613,"8-2699-00059/00001","UNIVERSITY OF ROCHESTER",513,"Industrial SPDES - Surface Discharge","Issued",2021-04-01,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2021-08-09 04:00:00,2026-07-31 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0002852",505,"9-1430-00014/00018","NEW ENTERPRISE STONE & LIME CO., INC.",428,"Industrial SPDES - Surface Discharge","Issued",2021-11-16,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-06-01 04:00:00,2027-05-31 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0002917",651,"8-3240-00006/00007","HEIDELBERG MATERIALS NORTHEAST-NY LLC",279,"Industrial SPDES - Surface Discharge","Issued",2021-10-01,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2021-11-22 05:00:00,2026-10-31 04:00:00,"DONALD J KLACZKO",NA,NA
"NY0002941",533,"9-1456-00004/00010","COUNTY LINE STONE CO., INC.",450,"Industrial SPDES - Surface Discharge","Issued",2023-09-05,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-07-01 04:00:00,2029-06-30 04:00:00,"ELISE A FERENCEVYCH",NA,NA
"NY0002950",464,"9-0472-00007/00010","CALERES INC",388,"Industrial SPDES - Surface Discharge","Issued",2023-08-25,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-01-01 05:00:00,2028-12-31 05:00:00,"KATHERINE M MURRAY",NA,NA
"NY0002984",406,"6-4038-00003/00027","VANDERBILT MINERALS, LLC",309,"Industrial SPDES - Surface Discharge","Issued",2024-04-30,"MAJOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-11-01 04:00:00,2029-10-31 04:00:00,"MOLLY L FARRELL",NA,"The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0002992",605,"8-9908-00113/00021","HEIDELBERG MATERIALS NORTHEAST-NY LLC",279,"Industrial SPDES - Surface Discharge","Issued",2024-05-30,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-12-01 05:00:00,2029-11-30 05:00:00,"TERESS BALDWIN",NA,NA
"NY0003255",708,"8-5442-00003/00002","HEIDELBERG MATERIALS NORTHEAST-NY LLC",279,"Industrial SPDES - Surface Discharge","Issued",2021-07-01,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-01-01 05:00:00,2026-12-31 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0003352",612,"8-2614-00541/00001","UNITED REFINING COMPANY",512,"Industrial SPDES - Surface Discharge","Issued",2022-02-17,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-10-01 04:00:00,2027-09-30 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0003646",447,"9-0248-00007/00002","EMPIRE CHEESE INC",372,"Industrial SPDES - Surface Discharge","Issued",2020-10-22,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2021-04-01 04:00:00,2026-03-31 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0003956",674,"8-4603-00010/00001","CORNING INCORPORATED",337,"Industrial SPDES - Surface Discharge","Issued",2020-12-30,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2021-06-01 04:00:00,2026-05-31 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0003972",688,"8-4642-00011/00008","CORNING INCORPORATED",337,"Industrial SPDES - Surface Discharge","Issued",2022-08-24,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-05-01 04:00:00,2028-04-30 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0004189",758,"7-0824-00001/00001","CHOBANI, LLC",638,"Industrial SPDES - Surface Discharge","Issued",2024-03-27,"MAJOR","Type I Action","Negative Declaration","Columbus Town Planning Board","This project is not located in a Coastal Management area.","Issued",2024-11-01 04:00:00,2029-10-31 04:00:00,"JONATHAN J STERCHO","Cultural resource lists and map have been checked.  No registered, eligible, or inventoried archaeological sites or historic structures were identified at the project location.  No further review in accordance with SHPA is required.","The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0004243",764,"7-0842-00017/00003","KERRY BIOFUNCTIONAL INGREDIENTS INC",643,"Industrial SPDES - Surface Discharge","Modify Permit",2022-03-31,"MAJOR","Unlisted Action","Negative Declaration","None Designated","This project is not located in a Coastal Management area.","Modify Permit",2022-09-01 04:00:00,2027-08-31 04:00:00,"JAMES J ELDRED",NA,"The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0004278",681,"8-4624-00008/00001","FINGER LAKES LPG STORAGE LLC",573,"Industrial SPDES - Surface Discharge","Issued",2020-06-19,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2021-04-01 04:00:00,2026-03-31 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0004405",258,"5-4126-00007/00005","INTERNATIONAL PAPER COMPANY",211,"Industrial SPDES - Surface Discharge","Discontinued",2022-06-03,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Discontinued",2022-06-03 04:00:00,NA,"SUSAN L CLICKNER",NA,NA
"NY0004413",243,"5-1548-00008/00006","Sylvamo North America LLC",212,"Industrial SPDES - Surface Discharge","SAPA Extended",2023-02-21,"MAJOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-07-01 04:00:00,2023-07-31 04:00:00,"ERIN M DONHAUSER",NA,"The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0004421",440,"3-3348-00092/00031","AMERICAN FELT & FILTER COMPANY INC",367,"Industrial SPDES - Surface Discharge","Issued",2022-02-22,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-08-03 04:00:00,2028-07-31 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0004472",206,"3-5522-00011/00027","HOLTEC INDIAN POINT 3, LLC",179,"Industrial SPDES - Surface Discharge","Suspended Indefinitely",2022-06-09,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.",NA,NA,NA,"REBECCA S CRIST",NA,NA
"NY0004502",1129,"2-6403-00332/00001","380 DEVELOPMENT LLC",950,"Industrial SPDES - Surface Discharge","Issued",2020-07-10,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2020-12-01 05:00:00,2025-11-30 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0004588",196,"3-5508-00002/00004","40 CANAL LLC",169,"Industrial SPDES - Surface Discharge","Discontinued",2024-11-08,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Discontinued",2024-11-25 05:00:00,NA,"MYRIAM LONG",NA,NA
"NY0004596",1128,"2-6101-00055/00001","KINDER MORGAN LIQUIDS TERMINALS LLC",949,"Industrial SPDES - Surface Discharge","Issued",2022-05-04,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-09-06 04:00:00,2027-08-31 04:00:00,"THOMAS A RASCONA",NA,NA
"NY0004600",110,"3-3924-00025/00099","PEARL RIVER CAMPUS LLC",103,"Industrial SPDES - Surface Discharge","Issued",2023-05-17,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-01-01 05:00:00,2028-12-31 05:00:00,"THOMAS A RASCONA",NA,NA
"NY0004618",1134,"3-1340-00073/00011","PAWLING ENGINEERED PRODUCTS INC",954,"Industrial SPDES - Surface Discharge","Issued",2020-01-02,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2020-09-29 04:00:00,2025-08-31 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0004839",884,"4-0122-00052/00008","NORTH ALBANY TERMINAL COMPANY LLC",753,"Industrial SPDES - Surface Discharge","Issued",2021-09-29,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-04-01 04:00:00,2027-03-31 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0004961",1156,"2-6405-00073/00024","KINDER MORGAN LIQUIDS TERMINALS LLC",949,"Industrial SPDES - Surface Discharge","Expired",2020-11-18,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2021-02-11 05:00:00,2023-10-31 04:00:00,"CAITLYN P NICHOLS",NA,NA
"NY0005011",984,"4-3820-00010/00019","NORTHEAST GREEN CENTER LLC",839,"Industrial SPDES - Surface Discharge","Issued",2024-08-21,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2025-02-01 05:00:00,2030-01-31 05:00:00,"TERESS BALDWIN",NA,NA
"NY0005231",108,"3-3922-00018/00032","TILCON NEW YORK INC.",51,"Industrial SPDES - Surface Discharge","Issued",2024-08-02,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2025-02-01 05:00:00,2030-01-31 05:00:00,"ELISE A FERENCEVYCH",NA,NA
"NY0005240",115,"3-3928-00029/00003","TILCON NEW YORK INC.",51,"Industrial SPDES - Surface Discharge","Issued",2021-12-08,"MINOR","Type II Action","Not Applicable","None Designated","This project is located in a Coastal Management area and is subject to the Waterfront Revitalization and Coastal Resources Act.","Issued",2022-08-01 04:00:00,2027-07-31 04:00:00,"DONALD J KLACZKO",NA,NA
"NY0005266",83,"3-3354-00045/00002","JCI JONES CHEMICALS, INC.",82,"Industrial SPDES - Surface Discharge","Issued",2023-08-11,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2024-07-01 04:00:00,2029-06-30 04:00:00,"KATHERINE M MURRAY",NA,NA
"NY0005282",329,"6-2128-00019/00193","REMARMS LLC",277,"Industrial SPDES - Surface Discharge","Issued",2022-06-07,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-04-01 04:00:00,2028-03-31 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0005347",438,"3-3348-00090/00006","GLOBAL COMPANIES LLC",257,"Industrial SPDES - Surface Discharge","Issued",2022-04-26,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-05-04 04:00:00,2028-04-30 04:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0005487",387,"6-3099-00049/00039","HEIDELBERG MATERIALS NORTHEAST-NY LLC",279,"Industrial SPDES - Surface Discharge","Final Decision Due",2024-09-30,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.",NA,NA,NA,"KATHERINE M MURRAY",NA,NA
"NY0005622",52,"3-3330-00028/00002","MILMAR FOOD GROUP, LLC",53,"Industrial SPDES - Surface Discharge","Completeness Determination Due",2024-10-29,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.",NA,NA,NA,"ELISE A FERENCEVYCH",NA,NA
"NY0005649",294,"3-1346-00087/00014","TILCON NEW YORK INC.",51,"Industrial SPDES - Surface Discharge","Issued",2021-07-12,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-02-01 05:00:00,2027-01-31 05:00:00,"MICHAEL R SCHAEFER",NA,NA
"NY0005665",1239,"6-3013-00091/00001","REVERE COPPER PRODUCTS INC",1040,"Industrial SPDES - Surface Discharge","Issued",2021-09-03,"MAJOR","Unlisted Action","Negative Declaration","None Designated","This project is not located in a Coastal Management area.","Issued",2024-02-01 05:00:00,2029-01-31 05:00:00,"TODD J PHILLIPS",NA,"The application is subject to the Department Environmental Justice policy (CP-29). Either the permits needed for the project are not subject to the policy or it has been determined that the project would not affect a Potential Environmental Justice Area."
"NY0005690",985,"4-3824-00019/00009","BUCKEYE TERMINALS, LLC",72,"Industrial SPDES - Surface Discharge","Issued",2022-03-03,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2022-09-01 04:00:00,2027-08-31 04:00:00,"ELISE A FERENCEVYCH",NA,NA
"NY0005720",63,"3-3342-00007/00008","AMPAC PAPER LLC",64,"Industrial SPDES - Surface Discharge","Issued",2023-06-01,"MINOR","Type II Action","Not Applicable","None Designated","This project is not located in a Coastal Management area.","Issued",2023-12-01 05:00:00,2028-11-30 05:00:00,"ELISE A FERENCEVYCH",NA,NA
