"action_id","facility","facility_id","npdes_id","application_id","applicant","application_type","date_received","status","short_description","enb_publication_date","written_comments_due","dup_flag","transfer_flag"
"NY0087840_2024-09-23","PACKAGE PAVEMENT CO",10,"NY0087840","3-1328-00038/00007","PACKAGE PAVEMENT COMPANY INCORPORATED","Renewal Treat as New",2024-09-23,"Final Decision Due","spdes fast track renewal for ny0087840",2024-10-02 04:00:00,2024-11-01 04:00:00,FALSE,FALSE
"NY0060992_2022-09-09","VILLAGE OF FISHKILL STP",11,"NY0060992","3-1330-00025/00002","VILLAGE OF FISHKILL","Renewal Treat as New",2022-09-09,"Issued","spdes fast track renewal for ny0060922",2022-11-02 04:00:00,2022-12-02 05:00:00,FALSE,FALSE
"NY0060976_2022-09-22","ROMBOUT STP",12,"NY0060976","3-1330-00030/00005","TOWN OF FISHKILL","Renewal Treat as New",2022-09-22,"Issued","spdes fast track renewal for # ny0060976",2022-12-07 05:00:00,2023-01-06 05:00:00,FALSE,FALSE
"NYR10G736_2022-09-22","ROMBOUT STP",12,"NYR10G736","3-1330-00030/00005","TOWN OF FISHKILL","Renewal Treat as New",2022-09-22,"Issued","spdes fast track renewal for # ny0060976",2022-12-07 05:00:00,2023-01-06 05:00:00,FALSE,FALSE
"NYR10G078_2022-09-22","ROMBOUT STP",12,"NYR10G078","3-1330-00030/00005","TOWN OF FISHKILL","Renewal Treat as New",2022-09-22,"Issued","spdes fast track renewal for # ny0060976",2022-12-07 05:00:00,2023-01-06 05:00:00,FALSE,FALSE
"NYR10F558_2022-09-22","ROMBOUT STP",12,"NYR10F558","3-1330-00030/00005","TOWN OF FISHKILL","Renewal Treat as New",2022-09-22,"Issued","spdes fast track renewal for # ny0060976",2022-12-07 05:00:00,2023-01-06 05:00:00,FALSE,FALSE
"NY0060976_2022-09-22","ROMBOUT STP",12,"NY0060976","3-1330-00030/00005","RPA ASSOCIATES LLC","Renewal Treat as New",2022-09-22,"Issued","spdes fast track renewal for # ny0060976",2022-12-07 05:00:00,2023-01-06 05:00:00,TRUE,FALSE
"NYR10G736_2022-09-22","ROMBOUT STP",12,"NYR10G736","3-1330-00030/00005","RPA ASSOCIATES LLC","Renewal Treat as New",2022-09-22,"Issued","spdes fast track renewal for # ny0060976",2022-12-07 05:00:00,2023-01-06 05:00:00,TRUE,FALSE
"NYR10G078_2022-09-22","ROMBOUT STP",12,"NYR10G078","3-1330-00030/00005","RPA ASSOCIATES LLC","Renewal Treat as New",2022-09-22,"Issued","spdes fast track renewal for # ny0060976",2022-12-07 05:00:00,2023-01-06 05:00:00,TRUE,FALSE
"NYR10F558_2022-09-22","ROMBOUT STP",12,"NYR10F558","3-1330-00030/00005","RPA ASSOCIATES LLC","Renewal Treat as New",2022-09-22,"Issued","spdes fast track renewal for # ny0060976",2022-12-07 05:00:00,2023-01-06 05:00:00,TRUE,FALSE
"NYR00D476_2020-09-01","BEACON TECHNOLOGY CENTER",13,"NYR00D476","3-1330-00048/00004","CHEVRON USA INC","Renewal Treat as New",2020-09-01,"Issued","spdes fast track renewal for # ny0005754",2020-11-18 05:00:00,2020-12-18 05:00:00,FALSE,FALSE
"NYR00C608_2020-09-01","BEACON TECHNOLOGY CENTER",13,"NYR00C608","3-1330-00048/00004","CHEVRON USA INC","Renewal Treat as New",2020-09-01,"Issued","spdes fast track renewal for # ny0005754",2020-11-18 05:00:00,2020-12-18 05:00:00,FALSE,FALSE
"NYR00A555_2020-09-01","BEACON TECHNOLOGY CENTER",13,"NYR00A555","3-1330-00048/00004","CHEVRON USA INC","Renewal Treat as New",2020-09-01,"Issued","spdes fast track renewal for # ny0005754",2020-11-18 05:00:00,2020-12-18 05:00:00,FALSE,FALSE
"NY0005754_2020-09-01","BEACON TECHNOLOGY CENTER",13,"NY0005754","3-1330-00048/00004","CHEVRON USA INC","Renewal Treat as New",2020-09-01,"Issued","spdes fast track renewal for # ny0005754",2020-11-18 05:00:00,2020-12-18 05:00:00,FALSE,FALSE
"NY0020087_2020-10-15","VETERANS ADMIN MED CENTER @ CASTLE POINT",14,"NY0020087","3-1330-00050/00009","US DEPT OF VETERANS AFFAIRS","Renewal Treat as New",2020-10-15,"Issued","spdes fast track renewal for # ny0020087",2020-11-11 05:00:00,2020-12-11 05:00:00,FALSE,FALSE
"NY0102768_2023-05-17","ANDERSON SCHOOL",15,"NY0102768","3-1332-00002/00002","Anderson Center For Autism","Renewal Treat as New",2023-05-17,"Issued","spdes fast track renewal for ny0102768",2023-06-14 04:00:00,2023-07-14 04:00:00,FALSE,FALSE
"NYR10D024_2023-05-17","ANDERSON SCHOOL",15,"NYR10D024","3-1332-00002/00002","Anderson Center For Autism","Renewal Treat as New",2023-05-17,"Issued","spdes fast track renewal for ny0102768",2023-06-14 04:00:00,2023-07-14 04:00:00,FALSE,FALSE
"NY0185671_2023-02-24","HIDDEN BROOK ESTATES CO-OP CORP",16,"NY0185671","3-1332-00027/00004","HIDDEN BROOK ESTATES COOPERATIVE CORPORATION","Renewal Treat as New",2023-02-24,"Issued","spdes full tech review",2023-08-23 04:00:00,2023-09-22 04:00:00,FALSE,FALSE
"NY0097896_2020-09-10","HYDE PARK GREENFIELDS SEWER DIST",17,"NY0097896","3-1332-00029/00003","DUTCHESS COUNTY WATER & WASTEWATER AUTHORITY","Modification Treat as New",2020-09-10,"Expired","compliance schedule",2020-09-16 04:00:00,2020-10-16 04:00:00,FALSE,FALSE
"NY0097896_2020-09-10","HYDE PARK GREENFIELDS SEWER DIST",17,"NY0097896","3-1332-00029/00003","TOWN OF HYDE PARK","Modification Treat as New",2020-09-10,"Expired","compliance schedule",2020-09-16 04:00:00,2020-10-16 04:00:00,TRUE,FALSE
"NY0097896_2021-02-19","HYDE PARK GREENFIELDS SEWER DIST",17,"NY0097896","3-1332-00029/00003","DUTCHESS COUNTY WATER & WASTEWATER AUTHORITY","Renewal Treat as New",2021-02-19,"Issued","spdes fast track renewal for # ny0097896",2021-07-07 04:00:00,2021-08-06 04:00:00,FALSE,FALSE
"NY0097896_2021-02-19","HYDE PARK GREENFIELDS SEWER DIST",17,"NY0097896","3-1332-00029/00003","TOWN OF HYDE PARK","Renewal Treat as New",2021-02-19,"Issued","spdes fast track renewal for # ny0097896",2021-07-07 04:00:00,2021-08-06 04:00:00,TRUE,FALSE
"NY0061051_2023-01-31","RENAISSANCE REHABILITATION STP",18,"NY0061051","3-1332-00036/00001","HYDE PARK NURSING HOME INC","Renewal Treat as New",2023-01-31,"Issued","spdes fast track renewal for ny0061051",2023-08-09 04:00:00,2023-09-08 04:00:00,FALSE,FALSE
"NY0081027_2023-01-12","HYDE PARK TERRACE APTS",19,"NY0081027","3-1332-00038/00002","GENE PHILLIPS","Renewal Treat as New",2023-01-12,"Issued","spdes fast track renewal for ny0081027",2023-01-25 05:00:00,2023-02-24 05:00:00,FALSE,FALSE
"NY0271136_2021-02-04","JEFFREY GROVES ESTATES SUBDIVISION",20,"NY0271136","3-1332-00040/00002","NORTH CROSS LLC","Renewal Treat as New",2021-02-04,"Completeness Determination Due","spdes fast track renewal for # ny0271136",NA,NA,FALSE,FALSE
"NY0081779_2021-01-05","PARTRIDGE GARDENS LLC",21,"NY0081779","3-1332-00055/00002","PARTRIDGE GARDENS LLC","Renewal Treat as New",2021-01-05,"Issued","spdes fast track renewal for # ny0081779",2021-01-27 05:00:00,2021-02-26 05:00:00,FALSE,FALSE
"NY0104230_2024-07-02","VICTORY LAKE CAMP",22,"NY0104230","3-1332-00068/00003","NORTHEASTERN CONFERENCE OF SDA COMMUNITY AFFAIRS INC","Renewal Treat as New",2024-07-02,"Issued","spdes fast track renewal for ny0104230",2024-07-17 04:00:00,2024-08-16 04:00:00,FALSE,FALSE
"NY0026085_2021-02-02","LAGRANGE NOXON KNOLLS SD STP",23,"NY0026085","3-1334-00026/00002","TOWN OF LAGRANGE","Renewal Treat as New",2021-02-02,"Issued","spdes fast track renewal for # ny0026085",2021-07-07 04:00:00,2021-08-06 04:00:00,FALSE,FALSE
"NYR10F591_2021-02-02","LAGRANGE NOXON KNOLLS SD STP",23,"NYR10F591","3-1334-00026/00002","TOWN OF LAGRANGE","Renewal Treat as New",2021-02-02,"Issued","spdes fast track renewal for # ny0026085",2021-07-07 04:00:00,2021-08-06 04:00:00,FALSE,FALSE
"NY0185825_2024-03-18","PATHWAY MOTEL",24,"NY0185825","3-1334-00033/00002","454 FREEDOM PLAINS RD LLC","Modification",2024-03-18,"Expired","transfer from pathway motel llc to 454 freedom plains rd llc",NA,NA,FALSE,TRUE
"NY0185825_2024-07-08","PATHWAY MOTEL",24,"NY0185825","3-1334-00033/00002","454 FREEDOM PLAINS RD LLC","Renewal Treat as New",2024-07-08,"Issued","spdes fast track renewal and transfer for ny0185825",2024-07-24 04:00:00,2024-08-23 04:00:00,FALSE,TRUE
"NY0248282_2022-01-10","BILLINGS OPERATION",25,"NY0248282","3-1334-00035/00005","RED WING PROPERTIES INC","Renewal Treat as New",2022-01-10,"Issued","spdes fast track renewal for ny0248282",2022-02-16 05:00:00,2022-03-18 04:00:00,FALSE,FALSE
"NY0149489_2020-08-05","UNITED PARCEL DISTRIBUTION CENTER - Poughkeepsie",26,"NY0149489","3-1334-00040/00002","UNITED PARCEL SERVICE INC","Renewal Treat as New",2020-08-05,"Issued","ebps spdes ny0149489",2020-08-26 04:00:00,2020-09-25 04:00:00,FALSE,FALSE
"NYR00C044_2020-08-05","UNITED PARCEL DISTRIBUTION CENTER - Poughkeepsie",26,"NYR00C044","3-1334-00040/00002","UNITED PARCEL SERVICE INC","Renewal Treat as New",2020-08-05,"Issued","ebps spdes ny0149489",2020-08-26 04:00:00,2020-09-25 04:00:00,FALSE,FALSE
"NY0105473_2020-06-29","GILMOR GLASSWORKS",27,"NY0105473","3-1338-00006/00002","JOHN GILMOR","Modification",2020-06-29,"Expired","transfer",NA,NA,FALSE,TRUE
"NY0105473_2020-06-29","GILMOR GLASSWORKS",27,"NY0105473","3-1338-00006/00002","2 MAIN ST MILLERTON MANAGEMENT CORP","Modification",2020-06-29,"Expired","transfer",NA,NA,TRUE,TRUE
"NY0105473_2021-08-13","GILMOR GLASSWORKS",27,"NY0105473","3-1338-00006/00002","2 MAIN ST MILLERTON MANAGEMENT CORP","Renewal Treat as New",2021-08-13,"Issued","spdes fast track renewal for # ny0105473",2021-08-25 04:00:00,2021-09-24 04:00:00,FALSE,FALSE
"NY0101907_2024-02-02","MILLERTON PLAZA",28,"NY0101907","3-1338-00011/00002","MILLERTON SUPER INC.","Renewal Treat as New",2024-02-02,"Issued","reauthorize lapsed permit",2024-07-17 04:00:00,2024-08-16 04:00:00,FALSE,FALSE
"NYR00E264_2020-07-30","PLEASANT VALLEY QUARRY",29,"NYR00E264","3-1344-00008/00023","PECKHAM MATERIALS CORP.","Renewal Treat as New",2020-07-30,"Issued","spdes fast track renewal for # ny0006173",2020-08-19 04:00:00,2020-09-18 04:00:00,FALSE,FALSE
"NY0006173_2020-07-30","PLEASANT VALLEY QUARRY",29,"NY0006173","3-1344-00008/00023","PECKHAM MATERIALS CORP.","Renewal Treat as New",2020-07-30,"Issued","spdes fast track renewal for # ny0006173",2020-08-19 04:00:00,2020-09-18 04:00:00,FALSE,FALSE
"NY0077593_2021-02-19","VALLEY DALE STP",30,"NY0077593","3-1344-00023/00002","DUTCHESS COUNTY WATER & WASTEWATER AUTHORITY","Renewal Treat as New",2021-02-19,"Issued","spdes fast track renewal for # ny0077593",2021-07-07 04:00:00,2021-08-06 04:00:00,FALSE,FALSE
"NY0031925_2023-11-15","BARD COLLEGE",31,"NY0031925","3-1348-00008/00005","BARD COLLEGE","Renewal Treat as New",2023-11-15,"Issued","spdes fast track renewal for ny0031925",2023-12-06 05:00:00,2024-01-05 05:00:00,FALSE,FALSE
"NY0022098_2020-11-20","TIVOLI WWTF",32,"NY0022098","3-1348-00036/00002","VILLAGE OF TIVOLI","Renewal Treat as New",2020-11-20,"Expired","ebps ny0022098",2020-12-09 05:00:00,2021-01-08 05:00:00,FALSE,FALSE
"NY0022098_2023-12-14","TIVOLI WWTF",32,"NY0022098","3-1348-00036/00002","VILLAGE OF TIVOLI","Renewal Treat as New",2023-12-14,"Issued","dim to add action levels for copper and chloroform and change soc",2023-12-27 05:00:00,2024-01-26 05:00:00,FALSE,FALSE
"NY0087980_2023-12-12","UNIFICATION THEOLOGICAL SEMINARY (UTS)",33,"NY0087980","3-1348-00037/00001","UNIFICATION THEOLOGICAL SEMINARY","Minor Modification",2023-12-12,"Expired","transfer from unification theological seminary to bard college",NA,NA,FALSE,TRUE
"NY0087980_2023-05-24","UNIFICATION THEOLOGICAL SEMINARY (UTS)",33,"NY0087980","3-1348-00037/00001","UNIFICATION THEOLOGICAL SEMINARY","Renewal Treat as New",2023-05-24,"Issued","spdes fast track renewal for ny0087980",2023-07-19 04:00:00,2023-08-18 04:00:00,FALSE,FALSE
"NY0148903_2020-01-02","RIKERT COMMERCIAL DEVELOPMENT",34,"NY0148903","3-1350-00037/00002","RIKERT REALTY CORPORATION","Renewal Treat as New",2020-01-02,"Issued","spdes fast track renewal for # ny0148903",2020-01-15 05:00:00,2020-02-14 05:00:00,FALSE,FALSE
"NY0148903_2025-01-14","RIKERT COMMERCIAL DEVELOPMENT",34,"NY0148903","3-1350-00037/00002","RIKERT REALTY CORPORATION","Renewal Treat as New",2025-01-14,"Written Comments Deadline","spdes fast track renewal for ny0148903",2025-02-12 05:00:00,2025-03-14 04:00:00,FALSE,FALSE
"NY0099295_2020-06-02","VANDERBURGH COVE SEWER DISTRICT NO 1",35,"NY0099295","3-1350-00042/00002","DUTCHESS COUNTY WATER & WASTEWATER AUTHORITY","Renewal Treat as New",2020-06-02,"Issued","spdes fast track renewal for # ny0099295",2021-02-24 05:00:00,2021-04-02 04:00:00,FALSE,FALSE
"NY0076066_2023-06-06","182 OLD RTE 9 WAREHOUSE",36,"NY0076066","3-1356-00041/00002","GLOBAL SATELLITE LLC","Renewal Treat as New",2023-06-06,"Issued","spdes fast track admin renewal for ny0076066",2023-06-14 04:00:00,2023-07-14 04:00:00,FALSE,FALSE
"NY0033260_2021-06-07","NEW HACKENSACK REFORMED CHURCH",37,"NY0033260","3-1356-00044/00001","NEW HACKENSACK REFORMED CHURCH","Renewal Treat as New",2021-06-07,"Issued","spdes fast track renewal for # ny0033260",2021-07-28 04:00:00,2021-08-27 04:00:00,FALSE,FALSE
"NY0086142_2022-04-18","HAMPTON BUSINESS CENTER",38,"NY0086142","3-1356-00048/00002","LPV LLC","Renewal Treat as New",2022-04-18,"Issued","spdes fast track renewal for # ny0086142",2022-05-11 04:00:00,2022-06-10 04:00:00,FALSE,FALSE
"NY0086789_2020-02-21","CREEKSIDE PLAZA",39,"NY0086789","3-1356-00052/00002","UNTERREINER REAL ESTATE LLC","Renewal Treat as New",2020-02-21,"Issued","spdes fast track renewal for # ny0086789",2020-03-18 04:00:00,2020-04-17 04:00:00,FALSE,FALSE
"NY0035637_2022-07-18","MIDPOINT PARK SD/ROYAL RIDGE",40,"NY0035637","3-1356-00066/00002","TOWN OF WAPPINGER","Modification Treat as New",2022-07-18,"Issued","schedule change",2023-01-04 05:00:00,2023-02-03 05:00:00,FALSE,FALSE
"NY0037117_2023-08-28","WILDWOOD SD (L&A)",41,"NY0037117","3-1356-00070/00002","TOWN OF WAPPINGER","Modification Treat as New",2023-08-28,"Issued","change to schedule of compliance",2024-01-17 05:00:00,2024-02-16 05:00:00,FALSE,FALSE
"NY0025429_2022-02-10","MILLBROOK SEWAGE TREATMENT PLANT",42,"NY0025429","3-1358-00012/00003","VILLAGE OF MILLBROOK","Renewal Treat as New",2022-02-10,"Issued","spdes renewal and mod ebps full tech review",2024-04-10 04:00:00,2024-05-10 04:00:00,FALSE,FALSE
"NY0098060_2023-07-27","PORT JERVIS CITY HIGH SCHOOL",43,"NY0098060","3-3328-00160/00001","PORT JERVIS CITY SCHOOL DISTRICT","Renewal Treat as New",2023-07-27,"Issued","spdes fast track renewal for ny0098060",2023-08-09 04:00:00,2023-09-08 04:00:00,FALSE,FALSE
"NY0036587_2020-03-02","ROUND HILL ELEMENTARY SCHOOL",44,"NY0036587","3-3320-00026/00003","WASHINGTONVILLE CENTRAL SCHOOL DISTRICT","Renewal Treat as New",2020-03-02,"Issued","spdes fast track renewal for # ny0036587",2020-08-19 04:00:00,2020-09-18 04:00:00,FALSE,FALSE
"NYR11E278_2020-11-02","WASHINGTONVILLE - V WWTF",45,"NYR11E278","3-3320-00028/00004","COPPOLA SERVICES INC","Renewal Treat as New",2020-11-02,"Issued","spdes fast track renewal application for # ny",2020-12-30 05:00:00,2021-01-29 05:00:00,FALSE,FALSE
"NY0023671_2020-11-02","WASHINGTONVILLE - V WWTF",45,"NY0023671","3-3320-00028/00004","COPPOLA SERVICES INC","Renewal Treat as New",2020-11-02,"Issued","spdes fast track renewal application for # ny",2020-12-30 05:00:00,2021-01-29 05:00:00,FALSE,FALSE
"NYR11E278_2020-11-02","WASHINGTONVILLE - V WWTF",45,"NYR11E278","3-3320-00028/00004","VILLAGE OF WASHINGTONVILLE","Renewal Treat as New",2020-11-02,"Issued","spdes fast track renewal application for # ny",2020-12-30 05:00:00,2021-01-29 05:00:00,TRUE,FALSE
"NY0023671_2020-11-02","WASHINGTONVILLE - V WWTF",45,"NY0023671","3-3320-00028/00004","VILLAGE OF WASHINGTONVILLE","Renewal Treat as New",2020-11-02,"Issued","spdes fast track renewal application for # ny",2020-12-30 05:00:00,2021-01-29 05:00:00,TRUE,FALSE
"NY0102831_2025-02-13","STORM KING SCHOOL",46,"NY0102831","3-3324-00025/00002","STORM KING SCHOOL","Renewal Treat as New",2025-02-13,"Written Comments Deadline","spdes fast track renewal for ny0102831",2025-02-26 05:00:00,2025-03-28 04:00:00,FALSE,FALSE
"NY0110019_2025-01-09","CRAWFORD PINE BUSH STP",47,"NY0110019","3-3326-00004/00002","TOWN OF CRAWFORD","Renewal Treat as New",2025-01-09,"Written Comments Deadline","fast track renewal for spdes ny0110019",2025-02-05 05:00:00,2025-03-07 05:00:00,FALSE,FALSE
"NY0062219_2020-06-03","CIRCLEVILLE MIDDLE & PAKANASINK ELEMENTARY SCHOOLS",48,"NY0062219","3-3326-00020/00001","PINE BUSH CENTRAL SCHOOL DISTRICT","Renewal Treat as New",2020-06-03,"Issued","spdes fast track renewal for # ny0062219",2020-06-17 04:00:00,2020-07-17 04:00:00,FALSE,FALSE
"NY0066478_2022-10-31","THE SENTINEL",49,"NY0066478","3-3328-00013/00003","THE SENTINEL OF PORT JERVIS LLC","Renewal Treat as New",2022-10-31,"Issued","spdes fast track renewal for # ny0066478",2022-11-16 05:00:00,2022-12-16 05:00:00,FALSE,FALSE
"NY0264954_2021-12-07","GOSHEN QUARRY",50,"NY0264954","3-3330-00007/02001","TILCON NEW YORK INC.","Renewal Treat as New",2021-12-07,"Issued","spdes fast track renewal for ny0264954",2022-03-09 05:00:00,2022-04-08 04:00:00,FALSE,FALSE
"NYR00F328_2021-12-07","GOSHEN QUARRY",50,"NYR00F328","3-3330-00007/02001","TILCON NEW YORK INC.","Renewal Treat as New",2021-12-07,"Issued","spdes fast track renewal for ny0264954",2022-03-09 05:00:00,2022-04-08 04:00:00,FALSE,FALSE
"NY0233528_2023-12-20","GOSHEN WATER FILTRATION PLANT",51,"NY0233528","3-3330-00021/00002","VILLAGE OF GOSHEN","Renewal Treat as New",2023-12-20,"Incomplete","reauthorization of lapsed permit",NA,NA,FALSE,FALSE
"NY0005622_2020-02-20","MACK BROTHERS",52,"NY0005622","3-3330-00028/00002","MILMAR FOOD GROUP, LLC","Renewal Treat as New",2020-02-20,"Issued","spdes fast track renewal for # ny0005622",2020-03-25 04:00:00,2020-04-24 04:00:00,FALSE,FALSE
"NY0005622_2024-10-29","MACK BROTHERS",52,"NY0005622","3-3330-00028/00002","MILMAR FOOD GROUP, LLC","Renewal Treat as New",2024-10-29,"Completeness Determination Due","spdes fast track renewal for ny0005622",NA,NA,FALSE,FALSE
"NY0030384_2024-05-03","GOSHEN SECURE CENTER",53,"NY0030384","3-3330-00030/00002","NYS OFFICE OF CHILDREN & FAMILY SERVICES","Renewal Treat as New",2024-05-03,"Issued","spdes fast track renewal for ny0030384",2024-05-29 04:00:00,2024-06-28 04:00:00,FALSE,FALSE
"NY0098191_2020-11-19","AMY BULL CRIST EDUCATION CTR",54,"NY0098191","3-3330-00031/00002","ORANGE-ULSTER BOCES","Renewal Treat as New",2020-11-19,"Issued","fast track spdes renewal #ny0098191",2021-02-10 05:00:00,2021-03-12 05:00:00,FALSE,FALSE
"NY0022101_2021-06-11","THE VALLEY VIEW CENTER FOR NURSING CARE AND REHABILITATION",55,"NY0022101","3-3330-00035/00004","ORANGE COUNTY","Renewal Treat as New",2021-06-11,"Issued","full technical review modification and renewal",2022-11-02 04:00:00,2022-12-02 05:00:00,FALSE,FALSE
"NY0105627_2022-10-31","CAMPBELL HALL HEALTH CARE CENTER",56,"NY0105627","3-3334-00005/00002","CAMPBELL HALL REHABILITATION CENTER INC","Renewal Treat as New",2022-10-31,"Issued","spdes fast track renewal for # ny0105627",2022-11-09 05:00:00,2022-12-09 05:00:00,FALSE,FALSE
"NY0149411_2020-03-03","HIGHLANDS SEWER IMPROVEMENT AREA",57,"NY0149411","3-3336-00014/00002","TOWN OF HIGHLANDS","Renewal Treat as New",2020-03-03,"Issued","spdes fast track renewal for # ny0149411",2021-06-16 04:00:00,2021-07-16 04:00:00,FALSE,FALSE
"NY0071145_2023-12-22","ROCK TERRACE MOBILE HOME PARK",58,"NY0071145","3-3336-00018/00002","FIRST GARDEN PARK LIMITED PARTNERSHIP","Renewal Treat as New",2023-12-22,"Incomplete","reauthorization of lapsed permit",NA,NA,FALSE,FALSE
"NY0281891_2024-05-23","WEST POINT US ARMY GARRISON",59,"NY0281891","3-3399-00100/00095","US DEPT OF THE ARMY","New",2024-05-23,"Completeness Determination Due","construction dewatering and discharge of contaminated groundwater",NA,NA,FALSE,FALSE
"NYR20A334_2024-05-23","WEST POINT US ARMY GARRISON",59,"NYR20A334","3-3399-00100/00095","US DEPT OF THE ARMY","New",2024-05-23,"Completeness Determination Due","construction dewatering and discharge of contaminated groundwater",NA,NA,FALSE,FALSE
"NY0037419_2024-05-23","WEST POINT US ARMY GARRISON",59,"NY0037419","3-3399-00100/00095","US DEPT OF THE ARMY","New",2024-05-23,"Completeness Determination Due","construction dewatering and discharge of contaminated groundwater",NA,NA,FALSE,FALSE
"NY8210020_2024-05-23","WEST POINT US ARMY GARRISON",59,"NY8210020","3-3399-00100/00095","US DEPT OF THE ARMY","New",2024-05-23,"Completeness Determination Due","construction dewatering and discharge of contaminated groundwater",NA,NA,FALSE,FALSE
"NY0020800_2020-06-05","NOB HILL MOBILE HOME PARK",60,"NY0020800","3-3338-00005/00001","NOB HILL HOME COMMUNITY CORP","Renewal Treat as New",2020-06-05,"Issued","spdes fast track renewal for # ny0020800",2020-06-24 04:00:00,2020-07-24 04:00:00,FALSE,FALSE
"NY0023345_2020-06-12","SAPPHIRE ELEMENTARY SCH",61,"NY0023345","3-3340-00011/00004","MONROE-WOODBURY CENTRAL SCHOOL DISTRICT","Renewal Treat as New",2020-06-12,"Issued","spdes fast track renewal for # ny0023345",2020-06-24 04:00:00,2020-07-24 04:00:00,FALSE,FALSE
"NY0098124_2023-06-20","MARYCREST CONVENT PARISH",62,"NY0098124","3-3340-00018/00003","PARISH VISTIORS OF MARY IMMACULATE INC","Renewal Treat as New",2023-06-20,"Issued","spdes fast track renewal for ny0098124",2023-07-19 04:00:00,2023-08-18 04:00:00,FALSE,FALSE
"NY0005720_2023-06-01","AMPAC PAPER LLC",63,"NY0005720","3-3342-00007/00008","AMPAC PAPER LLC","Renewal Treat as New",2023-06-01,"Issued","spdes fast track renewal for ny0005720",2023-06-14 04:00:00,2023-07-14 04:00:00,FALSE,FALSE
"NY0032891_2023-09-18","HOLIDAY MOBILE HOME PARK",64,"NY0032891","3-3342-00014/00002","HOLIDAY MANOR PARK LLC","Renewal Treat as New",2023-09-18,"Issued","spdes fast track renewal for  ny0032891",2023-10-04 04:00:00,2023-11-03 04:00:00,FALSE,FALSE
