1241667281	20250403	202504	2025	2025.2548	ISR	ISRAELI	ISR								ISRMED	ISRAEL	ISR					MED			0	190	190	19	4	-10.0	4	1	4	-7.41758241758245	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20250503233000	https://www.prokerala.com/news/articles/a1631383.html
1241667282	20250403	202504	2025	2025.2548	ISR	ISRAELI	ISR								PSEMED	PALESTINIAN	PSE					MED			0	190	190	19	4	-10.0	1	1	1	-7.41758241758245	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20250503233000	https://www.prokerala.com/news/articles/a1631383.html
1241667283	20250426	202504	2025	2025.3178	CAN	VANCOUVER	CAN								PHL	FILIPINO	PHL								1	042	042	04	1	1.9	10	1	10	-2.30263157894737	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20250503233000	https://www.winnipegfreepress.com/arts-and-life/life/faith/2025/05/03/more-memorial-masses-planned-for-victims-in-vancouver-festival-attack
1241667284	20250426	202504	2025	2025.3178	CAN	VANCOUVER	CAN								PHL	FILIPINO	PHL								1	051	051	05	1	3.4	8	1	8	-2.30263157894737	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Lapu Lapu, Lapu-Lapu, Philippines	RP	RPD4	24253	10.3103	123.949	-2432228	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20250503233000	https://www.winnipegfreepress.com/arts-and-life/life/faith/2025/05/03/more-memorial-masses-planned-for-victims-in-vancouver-festival-attack
1241667285	20250426	202504	2025	2025.3178	CAN	CANADA	CAN								PHL	PHILIPPINE	PHL								1	051	051	05	1	3.4	2	1	2	-2.30263157894737	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20250503233000	https://www.winnipegfreepress.com/arts-and-life/life/faith/2025/05/03/more-memorial-masses-planned-for-victims-in-vancouver-festival-attack
1241667286	20250426	202504	2025	2025.3178	PHL	FILIPINO	PHL								CAN	VANCOUVER	CAN								1	043	043	04	1	2.8	8	1	8	-2.30263157894737	4	Lapu Lapu, Lapu-Lapu, Philippines	RP	RPD4	24253	10.3103	123.949	-2432228	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20250503233000	https://www.winnipegfreepress.com/arts-and-life/life/faith/2025/05/03/more-memorial-masses-planned-for-victims-in-vancouver-festival-attack
1241667287	20250426	202504	2025	2025.3178	PHL	PHILIPPINE	PHL								CAN	CANADA	CAN								1	043	043	04	1	2.8	2	1	2	-2.30263157894737	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20250503233000	https://www.winnipegfreepress.com/arts-and-life/life/faith/2025/05/03/more-memorial-masses-planned-for-victims-in-vancouver-festival-attack
1241667288	20250503	202505	2025	2025.3370											AUS	AUSTRALIA	AUS								0	013	013	01	1	0.4	4	1	2	4	0								4	Wangaratta, Victoria, Australia	AS	AS07	5422	-36.3585	146.321	-1607709	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20250503233000	https://www.bordermail.com.au/story/8957541/sussan-ley-helen-haines-nail-election-wins-to-return-to-canberra/
1241667289	20250503	202505	2025	2025.3370											AUS	AUSTRALIA	AUS								0	030	030	03	1	4.0	6	1	6	6.78642714570858	0								4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20250503233000	https://citynews.com.au/2025/world-leaders-congratulate-albo-on-labors-victory/
1241667290	20250503	202505	2025	2025.3370											AUS	AUSTRALIA	AUS								0	030	030	03	1	4.0	2	1	2	6.78642714570858	0								4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	1	India	IN	IN		20	77	IN	20250503233000	https://citynews.com.au/2025/world-leaders-congratulate-albo-on-labors-victory/
1241667291	20250503	202505	2025	2025.3370											AUS	AUSTRALIA	AUS								0	030	030	03	1	4.0	2	1	2	6.78642714570858	0								1	India	IN	IN		20	77	IN	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20250503233000	https://citynews.com.au/2025/world-leaders-congratulate-albo-on-labors-victory/
1241667292	20250503	202505	2025	2025.3370											AUS	CANBERRA	AUS								1	042	042	04	1	1.9	6	1	6	4	0								4	Wangaratta, Victoria, Australia	AS	AS07	5422	-36.3585	146.321	-1607709	4	Wangaratta, Victoria, Australia	AS	AS07	5422	-36.3585	146.321	-1607709	20250503233000	https://www.bordermail.com.au/story/8957541/sussan-ley-helen-haines-nail-election-wins-to-return-to-canberra/
1241667293	20250503	202505	2025	2025.3370											AUS	AUSTRALIA	AUS								0	051	051	05	1	3.4	4	1	2	4	0								4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Wangaratta, Victoria, Australia	AS	AS07	5422	-36.3585	146.321	-1607709	20250503233000	https://www.bordermail.com.au/story/8957541/sussan-ley-helen-haines-nail-election-wins-to-return-to-canberra/
1241667294	20250503	202505	2025	2025.3370											AUS	AUSTRALIA	AUS								1	051	051	05	1	3.4	2	1	2	0.28860028860029	0								4	Healesville, Victoria, Australia	AS	AS07	5431	-37.6539	145.517	-1577916	4	Healesville, Victoria, Australia	AS	AS07	5431	-37.6539	145.517	-1577916	20250503233000	https://www.mpnews.com.au/2025/05/04/flinders-on-a-knife-edge/
1241667295	20250503	202505	2025	2025.3370											AUS	AUSTRALIA	AUS								1	080	080	08	2	5.0	2	1	2	0.28860028860029	0								4	Healesville, Victoria, Australia	AS	AS07	5431	-37.6539	145.517	-1577916	4	Healesville, Victoria, Australia	AS	AS07	5431	-37.6539	145.517	-1577916	20250503233000	https://www.mpnews.com.au/2025/05/04/flinders-on-a-knife-edge/
1241667296	20250503	202505	2025	2025.3370											COP	LAW ENFORCEMENT AGENCIES						COP			1	130	130	13	3	-4.4	1	1	1	-15.4022988505747	0								2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20250503233000	https://spacecoastdaily.com/2025/05/arrests-in-brevard-county-may-3-2025-suspects-presumed-innocent-until-proven-guilty/
1241667297	20250503	202505	2025	2025.3370											COP	POLICE						COP			1	190	190	19	4	-10.0	10	1	10	-14.8648648648649	0								4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	20250503233000	https://coosavalleynews.com/2025/05/man-arrested-after-alterction-at-wendys-on-turner-mccall-blvd/
1241667298	20250503	202505	2025	2025.3370											CVL	COMMUNITY						CVL			1	042	042	04	1	1.9	10	1	10	3.90879478827361	0								1	Singapore	SN	SN		1.366667	103.8	SN	1	Singapore	SN	SN		1.366667	103.8	SN	20250503233000	https://www.islands.com/1847301/singapore-underrated-neighborhood-generations-old-restaurants-rich-history-katong-joo-chiat/
1241667299	20250503	202505	2025	2025.3370											DNKGRL	GREENLAND	DNK								0	042	042	04	1	1.9	1	1	1	0.0704225352112702	0								1	Israel	IS	IS		31.5	34.75	IS	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20250503233000	https://www.dailyherald.com/20250503/nation-and-world-politics/inside-waltzs-ouster-before-signalgate-talks-with-israel-angered-trump/
1241667300	20250503	202505	2025	2025.3370											EDU	STUDENT						EDU			0	046	046	04	1	7.0	10	1	10	3.76106194690265	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250503233000	https://nyunews.com/2025/05/03/washington-square-news-dharma-niles-appointed-eic/
1241667301	20250503	202505	2025	2025.3370											EDUEDU	SCHOOL						EDU	EDU		0	190	190	19	4	-10.0	5	1	5	-7.16845878136201	0								1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20250503233000	https://www.asahi.com/ajw/articles/15698867
1241667302	20250503	202505	2025	2025.3370											ELI	FIRST LADY						ELI			1	040	040	04	1	1.0	10	1	10	3.47826086956522	0								1	Azerbaijan	AJ	AJ		40.5	47.5	AJ	1	Azerbaijan	AJ	AJ		40.5	47.5	AJ	20250503233000	https://en.apa.az/official-news/president-of-azerbaijan-ilham-aliyev-met-with-patriarch-kirill-of-moscow-and-all-russia-updated-photo-466708
1241667303	20250503	202505	2025	2025.3370											GBR	UNITED KINGDOM	GBR								0	042	042	04	1	1.9	4	1	4	-4.42176870748299	0								4	Porton Down, Wiltshire, United Kingdom	UK	UKP8	40139	51.1167	-1.7	-2605632	4	Porton Down, Wiltshire, United Kingdom	UK	UKP8	40139	51.1167	-1.7	-2605632	20250503233000	https://www.dailymail.co.uk/home/books/article-14672561/The-Sleep-Room-Jon-Stock-celia-imrie-book-review-mental-health.html
1241667304	20250503	202505	2025	2025.3370											GBR	UNITED KINGDOM	GBR								0	071	071	07	2	7.4	2	1	2	-4.42176870748299	0								4	Porton Down, Wiltshire, United Kingdom	UK	UKP8	40139	51.1167	-1.7	-2605632	4	Porton Down, Wiltshire, United Kingdom	UK	UKP8	40139	51.1167	-1.7	-2605632	20250503233000	https://www.dailymail.co.uk/home/books/article-14672561/The-Sleep-Room-Jon-Stock-celia-imrie-book-review-mental-health.html
1241667305	20250503	202505	2025	2025.3370											GOV	GOVERNMENT						GOV			0	020	020	02	1	3.0	3	1	3	-1.04408352668213	0								3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20250503233000	https://www.nbcchicago.com/news/business/money-report/6-big-things-investors-learned-from-warren-buffett-at-this-years-berkshire-shareholder-meeting/3737191/
1241667306	20250503	202505	2025	2025.3370											GOV	PRESIDENT						GOV			1	040	040	04	1	1.0	10	1	10	3.47826086956522	0								1	Azerbaijan	AJ	AJ		40.5	47.5	AJ	1	Azerbaijan	AJ	AJ		40.5	47.5	AJ	20250503233000	https://en.apa.az/official-news/president-of-azerbaijan-ilham-aliyev-met-with-patriarch-kirill-of-moscow-and-all-russia-updated-photo-466708
1241667307	20250503	202505	2025	2025.3370											GOV	FIRE DEPARTMENT						GOV			0	051	051	05	1	3.4	4	1	4	2.23325062034739	0								3	Michaux State Forest, Pennsylvania, United States	US	USPA		39.9904	-77.3586	1192923	3	Michaux State Forest, Pennsylvania, United States	US	USPA		39.9904	-77.3586	1192923	20250503233000	https://www.fox43.com/article/news/local/shapiro-michaux-state-forest-wildfires-dcnr/521-bcdf816e-fb5e-43ba-a253-72905748ab72
1241667308	20250503	202505	2025	2025.3370											GOV	FIRE DEPARTMENT						GOV			0	051	051	05	1	3.4	6	1	6	2.23325062034739	0								2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20250503233000	https://www.fox43.com/article/news/local/shapiro-michaux-state-forest-wildfires-dcnr/521-bcdf816e-fb5e-43ba-a253-72905748ab72
1241667309	20250503	202505	2025	2025.3370											GOV	GOVERNMENT						GOV			0	052	052	05	1	3.5	6	1	6	0.72463768115942	0								4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	20250503233000	https://dailytimes.com.pk/1295690/world-press-freedom-day-pakistan-honors-martyred-journalists/
1241667310	20250503	202505	2025	2025.3370											GOV	GOVERNMENT						GOV			0	080	080	08	2	5.0	50	10	50	-1.6270337922403	0								4	Bedfordshire, United Kingdom (general), United Kingdom	UK	UK00	40124	52	-0.5	-2589547	4	Bedfordshire, United Kingdom (general), United Kingdom	UK	UK00	40124	52	-0.5	-2589547	20250503233000	https://www.countytimes.co.uk/news/national/25136968.farage-reform-uk-supplanted-tories-local-elections-sweep/
1241667311	20250503	202505	2025	2025.3370											GOV	FOREIGN MINIST						GOV			0	173	173	17	4	-5.0	5	1	5	-8.0939947780679	0								4	Sanaa, Sana', Yemen	YM	YM16	32956	15.3547	44.2067	-3191442	4	Sanaa, Sana', Yemen	YM	YM16	32956	15.3547	44.2067	-3191442	20250503233000	https://www.prokerala.com/news/articles/a1631386.html
1241667312	20250503	202505	2025	2025.3370											IDN	INDONESIA	IDN								1	036	036	03	1	4.0	6	1	6	3.90879478827361	0								4	Katong, Jawa Tengah, Indonesia	ID	ID07	18585	-7.0236	110.583	9148443	4	Katong, Jawa Tengah, Indonesia	ID	ID07	18585	-7.0236	110.583	9148443	20250503233000	https://www.islands.com/1847301/singapore-underrated-neighborhood-generations-old-restaurants-rich-history-katong-joo-chiat/
1241667313	20250503	202505	2025	2025.3370											IDN	INDONESIA	IDN								1	043	043	04	1	2.8	11	1	6	3.90879478827361	0								4	Katong, Jawa Tengah, Indonesia	ID	ID07	18585	-7.0236	110.583	9148443	4	Katong, Jawa Tengah, Indonesia	ID	ID07	18585	-7.0236	110.583	9148443	20250503233000	https://www.islands.com/1847301/singapore-underrated-neighborhood-generations-old-restaurants-rich-history-katong-joo-chiat/
1241667314	20250503	202505	2025	2025.3370											IDN	INDONESIA	IDN								1	043	043	04	1	2.8	1	1	1	3.90879478827361	0								4	Katong, Jawa Tengah, Indonesia	ID	ID07	18585	-7.0236	110.583	9148443	1	China	CH	CH		35	105	CH	20250503233000	https://www.islands.com/1847301/singapore-underrated-neighborhood-generations-old-restaurants-rich-history-katong-joo-chiat/
1241667315	20250503	202505	2025	2025.3370											ISR	ISRAEL	ISR								1	046	046	04	1	7.0	8	1	8	0.0704225352112702	0								2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20250503233000	https://www.dailyherald.com/20250503/nation-and-world-politics/inside-waltzs-ouster-before-signalgate-talks-with-israel-angered-trump/
1241667316	20250503	202505	2025	2025.3370											JPN	JAPANESE	JPN								1	040	040	04	1	1.0	10	1	10	0.46685340802987	0								4	Jomon, Hokkaido, Japan	JA	JA12	34305	43.8333	143.55	-231350	4	Jomon, Hokkaido, Japan	JA	JA12	34305	43.8333	143.55	-231350	20250503233000	https://www.asahi.com/ajw/articles/15703168
1241667317	20250503	202505	2025	2025.3370											JUD	ATTORNEY						JUD			1	120	120	12	3	-4.0	6	1	6	-7.39644970414201	0								2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	20250503233000	https://www.valleynewslive.com/2025/05/03/judge-rules-university-minnesota-student-detained-by-ice-cannot-be-deported/
1241667318	20250503	202505	2025	2025.3370											KOR	SOUTH KOREA	KOR								0	043	043	04	1	2.8	2	1	2	5.88235294117647	0								1	South Korea	KS	KS		37	127.5	KS	1	South Korea	KS	KS		37	127.5	KS	20250503233000	https://www.yahoo.com/news/korean-war-veterans-honored-ambassador-202835587.html
1241667319	20250503	202505	2025	2025.3370											LAB	WORKER						LAB			1	036	036	03	1	4.0	10	1	10	2.96052631578948	0								2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20250503233000	https://www.yahoo.com/news/public-safety-preparedness-fair-back-202255724.html
1241667320	20250503	202505	2025	2025.3370											MDV	MALE	MDV								1	050	050	05	1	3.5	2	1	2	-11.5606936416185	0								3	Kandiyohi County, Minnesota, United States	US	USMN		45.1333	-95.0008	659479	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	20250503233000	https://www.yahoo.com/news/early-morning-altercation-sends-willmar-223800218.html
1241667321	20250503	202505	2025	2025.3370											MIL	ARMED FORCES						MIL			1	051	051	05	1	3.4	40	10	40	1.47783251231527	0								1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	20250503233000	https://www.leaderlive.co.uk/news/national/25136972.owe-debt-gratitude-served-second-world-war-says-swinney/
1241667322	20250503	202505	2025	2025.3370											PAK	PAKISTAN	PAK								0	020	020	02	1	3.0	10	1	10	-2.31923601637108	0								4	Risalpur, Punjab, Pakistan	PK	PK04	23680	30.1333	72.1167	-2772701	4	Arabian Sea, India (general), India	IN	IN00		20	65	-2089022	20250503233000	https://dailytimes.com.pk/1295629/guardians-of-pakistan/
1241667323	20250503	202505	2025	2025.3370											PTY	POLITICIAN									1	190	190	19	4	-10.0	3	1	3	-6.11620795107034	0								4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	20250503233000	https://www.dailymail.co.uk/home/books/article-14672625/Fulvia-Jane-Draycott-romans-book-review.html
1241667324	20250503	202505	2025	2025.3370											REF	REFUGEE						REF			1	051	051	05	1	3.4	5	1	5	-4.88599348534202	0								1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	20250503233000	https://tribune.com.pk/story/2543781/vaccination-backslide
1241667325	20250503	202505	2025	2025.3370											TUR	ANTIOCH	TUR								1	043	043	04	1	2.8	10	1	10	-10.3703703703704	0								0								0								20250503233000	https://www.yahoo.com/news/felon-arrested-setting-ex-girlfriend-210719093.html
1241667326	20250503	202505	2025	2025.3370											USA	UNITED STATES	USA								1	010	010	01	1	0.0	1	1	1	2.23325062034739	0								3	Thompson Hollow, Pennsylvania, United States	US	USPA		41.6823	-77.5394	1189502	3	Thompson Hollow, Pennsylvania, United States	US	USPA		41.6823	-77.5394	1189502	20250503233000	https://www.fox43.com/article/news/local/shapiro-michaux-state-forest-wildfires-dcnr/521-bcdf816e-fb5e-43ba-a253-72905748ab72
1241667327	20250503	202505	2025	2025.3370											USA	UNITED STATES	USA								1	010	010	01	1	0.0	4	1	4	2.23325062034739	0								3	Thompson Hollow, Pennsylvania, United States	US	USPA		41.6823	-77.5394	1189502	3	Michaux State Forest, Pennsylvania, United States	US	USPA		39.9904	-77.3586	1192923	20250503233000	https://www.fox43.com/article/news/local/shapiro-michaux-state-forest-wildfires-dcnr/521-bcdf816e-fb5e-43ba-a253-72905748ab72
1241667328	20250503	202505	2025	2025.3370											USA	UNITED STATES	USA								1	010	010	01	1	0.0	1	1	1	2.23325062034739	0								3	Michaux State Forest, Pennsylvania, United States	US	USPA		39.9904	-77.3586	1192923	3	Michaux State Forest, Pennsylvania, United States	US	USPA		39.9904	-77.3586	1192923	20250503233000	https://www.fox43.com/article/news/local/shapiro-michaux-state-forest-wildfires-dcnr/521-bcdf816e-fb5e-43ba-a253-72905748ab72
1241667329	20250503	202505	2025	2025.3370											USA	UNITED STATES	USA								0	020	020	02	1	3.0	8	1	8	-8.46625766871169	0								3	Tarrant County, Texas, United States	US	USTX		32.7668	-97.3003	1384005	3	Tarrant County, Texas, United States	US	USTX		32.7668	-97.3003	1384005	20250503233000	https://www.dallasnews.com/news/public-safety/2025/05/03/tarrant-county-families-speak-before-texas-jail-commission-on-jail-deaths/
1241667330	20250503	202505	2025	2025.3370											USA	UNITED STATES	USA								1	020	020	02	1	3.0	12	2	12	-4.23311510268032	0								1	El Salvador	ES	ES		13.833333	-88.916667	ES	1	El Salvador	ES	ES		13.833333	-88.916667	ES	20250503233000	https://www.yahoo.com/news/white-house-mocks-man-trump-221717622.html
1241667331	20250503	202505	2025	2025.3370											USA	UNITED STATES	USA								1	036	036	03	1	4.0	3	1	3	-0.53981106612685	0								3	Matthiessen State Park, Illinois, United States	US	USIL		41.2956	-89.0254	413129	3	Matthiessen State Park, Illinois, United States	US	USIL		41.2956	-89.0254	413129	20250503233000	https://www.islands.com/1846326/starved-rock-state-park-underappreciated-neighbor-matthiessen-surreal-illinois-gem-canyons-waterfalls/
1241667332	20250503	202505	2025	2025.3370											USA	UNITED STATES	USA								1	036	036	03	1	4.0	1	1	1	-0.53981106612685	0								3	Matthiessen State Park, Illinois, United States	US	USIL		41.2956	-89.0254	413129	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	20250503233000	https://www.islands.com/1846326/starved-rock-state-park-underappreciated-neighbor-matthiessen-surreal-illinois-gem-canyons-waterfalls/
1241667333	20250503	202505	2025	2025.3370											USA	UNITED STATES	USA								1	036	036	03	1	4.0	4	1	4	-0.10672358591248	0								3	Laguardia Airport, New York, United States	US	USNY		40.7761	-73.8727	973546	3	Laguardia Airport, New York, United States	US	USNY		40.7761	-73.8727	973546	20250503233000	https://www.islands.com/1846689/bull-hill-new-york-scenic-escape-hudson-valley-views-forested-paths-historic-ruins/
1241667334	20250503	202505	2025	2025.3370											USA	UNITED STATES	USA								1	036	036	03	1	4.0	1	1	1	-0.53981106612685	0								2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	3	Matthiessen State Park, Illinois, United States	US	USIL		41.2956	-89.0254	413129	20250503233000	https://www.islands.com/1846326/starved-rock-state-park-underappreciated-neighbor-matthiessen-surreal-illinois-gem-canyons-waterfalls/
1241667335	20250503	202505	2025	2025.3370											USA	UNITED STATES	USA								1	042	042	04	1	1.9	6	1	6	2.23325062034739	0								3	Thompson Hollow, Pennsylvania, United States	US	USPA		41.6823	-77.5394	1189502	3	Michaux State Forest, Pennsylvania, United States	US	USPA		39.9904	-77.3586	1192923	20250503233000	https://www.fox43.com/article/news/local/shapiro-michaux-state-forest-wildfires-dcnr/521-bcdf816e-fb5e-43ba-a253-72905748ab72
1241667336	20250503	202505	2025	2025.3370											USA	UNITED STATES	USA								1	042	042	04	1	1.9	2	1	2	2.23325062034739	0								3	Michaux State Forest, Pennsylvania, United States	US	USPA		39.9904	-77.3586	1192923	3	Michaux State Forest, Pennsylvania, United States	US	USPA		39.9904	-77.3586	1192923	20250503233000	https://www.fox43.com/article/news/local/shapiro-michaux-state-forest-wildfires-dcnr/521-bcdf816e-fb5e-43ba-a253-72905748ab72
1241667337	20250503	202505	2025	2025.3370											USA	AUSTIN	USA								0	042	042	04	1	1.9	10	1	10	-8.46625766871169	0								3	Tarrant County, Texas, United States	US	USTX		32.7668	-97.3003	1384005	3	Tarrant County, Texas, United States	US	USTX		32.7668	-97.3003	1384005	20250503233000	https://www.dallasnews.com/news/public-safety/2025/05/03/tarrant-county-families-speak-before-texas-jail-commission-on-jail-deaths/
