1241996439	20250505	202505	2025	2025.3425	AUSLEG	AUSTRALIA	AUS					LEG			AUS	AUSTRALIA	AUS								1	111	111	11	3	-2.0	14	7	14	-2.20053843749868	4	Marrickville, New South Wales, Australia	AS	AS02	5045	-33.9167	151.167	-1586038	4	Marrickville, New South Wales, Australia	AS	AS02	5045	-33.9167	151.167	-1586038	4	Marrickville, New South Wales, Australia	AS	AS02	5045	-33.9167	151.167	-1586038	20250506020000	https://www.cootamundraherald.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996440	20250505	202505	2025	2025.3425	LEG	SENATOR						LEG													0	020	020	02	1	3.0	24	4	24	-2.19864402058214	4	Gippsland, Victoria, Australia	AS	AS07	5424	-38	147.5	-1575162	0								4	Gippsland, Victoria, Australia	AS	AS07	5424	-38	147.5	-1575162	20250506020000	https://www.cootamundraherald.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996441	20250505	202505	2025	2025.3425	LEG	SENATOR						LEG													0	020	020	02	1	3.0	6	1	6	-2.19575735020469	4	Mandurah, Western Australia, Australia	AS	AS08	5522	-32.5269	115.722	-1585527	0								4	Mandurah, Western Australia, Australia	AS	AS08	5522	-32.5269	115.722	-1585527	20250506020000	https://www.mandurahmail.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996442	20250505	202505	2025	2025.3425	LEG	SENATOR						LEG													0	020	020	02	1	3.0	6	1	6	-2.19941348973607	4	Moruya, New South Wales, Australia	AS	AS02	4997	-35.9125	150.081	-1589024	0								4	Moruya, New South Wales, Australia	AS	AS02	4997	-35.9125	150.081	-1589024	20250506020000	https://www.batemansbaypost.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996443	20250505	202505	2025	2025.3425	LEG	SENATOR						LEG													0	020	020	02	1	3.0	6	1	6	-2.21402214022141	4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	0								4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	20250506020000	https://www.naroomanewsonline.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996444	20250505	202505	2025	2025.3425	LEG	SENATOR						LEG													1	111	111	11	3	-2.0	42	7	42	-2.20053843749868	4	Ulladulla, New South Wales, Australia	AS	AS02	5081	-35.3591	150.472	-1606414	0								4	Ulladulla, New South Wales, Australia	AS	AS02	5081	-35.3591	150.472	-1606414	20250506020000	https://www.cootamundraherald.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996445	20250505	202505	2025	2025.3425	LEG	SENATOR						LEG			AUS	AUSTRALIA	AUS								0	020	020	02	1	3.0	8	4	8	-2.19864402058214	4	Gippsland, Victoria, Australia	AS	AS07	5424	-38	147.5	-1575162	4	Gippsland, Victoria, Australia	AS	AS07	5424	-38	147.5	-1575162	4	Gippsland, Victoria, Australia	AS	AS07	5424	-38	147.5	-1575162	20250506020000	https://www.cootamundraherald.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996446	20250505	202505	2025	2025.3425	LEG	SENATOR						LEG			AUS	AUSTRALIA	AUS								0	020	020	02	1	3.0	2	1	2	-2.19575735020469	4	Mandurah, Western Australia, Australia	AS	AS08	5522	-32.5269	115.722	-1585527	4	Mandurah, Western Australia, Australia	AS	AS08	5522	-32.5269	115.722	-1585527	4	Mandurah, Western Australia, Australia	AS	AS08	5522	-32.5269	115.722	-1585527	20250506020000	https://www.mandurahmail.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996447	20250505	202505	2025	2025.3425	LEG	SENATOR						LEG			AUS	AUSTRALIA	AUS								0	020	020	02	1	3.0	2	1	2	-2.19941348973607	4	Moruya, New South Wales, Australia	AS	AS02	4997	-35.9125	150.081	-1589024	4	Moruya, New South Wales, Australia	AS	AS02	4997	-35.9125	150.081	-1589024	4	Moruya, New South Wales, Australia	AS	AS02	4997	-35.9125	150.081	-1589024	20250506020000	https://www.batemansbaypost.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996448	20250505	202505	2025	2025.3425	LEG	SENATOR						LEG			AUS	AUSTRALIA	AUS								0	020	020	02	1	3.0	2	1	2	-2.21402214022141	4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	20250506020000	https://www.naroomanewsonline.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996449	20250505	202505	2025	2025.3425	LEG	SENATOR						LEG			AUS	AUSTRALIA	AUS								1	111	111	11	3	-2.0	14	7	14	-2.20053843749868	4	Ulladulla, New South Wales, Australia	AS	AS02	5081	-35.3591	150.472	-1606414	4	Ulladulla, New South Wales, Australia	AS	AS02	5081	-35.3591	150.472	-1606414	4	Ulladulla, New South Wales, Australia	AS	AS02	5081	-35.3591	150.472	-1606414	20250506020000	https://www.cootamundraherald.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996450	20250505	202505	2025	2025.3425	VAT	VATICAN	VAT																		1	026	026	02	1	4.0	4	1	4	0.625	1	Spain	SP	SP		40	-4	SP	0								1	Spain	SP	SP		40	-4	SP	20250506020000	https://www.gdnonline.com:443/Details/1352356/All-cardinals-arrive-for-conclave
1241996451	20250505	202505	2025	2025.3425	VAT	VATICAN	VAT								CVL	ELECTOR						CVL			1	026	026	02	1	4.0	1	1	1	0.625	4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	1	Spain	SP	SP		40	-4	SP	4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	20250506020000	https://www.gdnonline.com:443/Details/1352356/All-cardinals-arrive-for-conclave
1241996452	20250505	202505	2025	2025.3425	VAT	VATICAN	VAT								CVL	ELECTOR						CVL			1	026	026	02	1	4.0	4	1	4	0.625	1	Spain	SP	SP		40	-4	SP	1	Spain	SP	SP		40	-4	SP	1	Spain	SP	SP		40	-4	SP	20250506020000	https://www.gdnonline.com:443/Details/1352356/All-cardinals-arrive-for-conclave
1241996453	20250506	202505	2025	2025.3452											AGR	FARMER						AGR			0	042	042	04	1	1.9	3	1	3	-1.14503816793894	0								3	Upper Basin, Utah, United States	US	USUT		40.493	-110.638	1446848	3	Upper Basin, Utah, United States	US	USUT		40.493	-110.638	1446848	20250506020000	https://www.ksut.org/environment-climate/2025-05-05/the-colorado-river-needs-some-shared-pain-to-break-a-deadlock-water-experts-say
1241996454	20250506	202505	2025	2025.3452											AGR	FARMER						AGR			0	042	042	04	1	1.9	2	1	2	-1.14503816793894	0								2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	20250506020000	https://www.ksut.org/environment-climate/2025-05-05/the-colorado-river-needs-some-shared-pain-to-break-a-deadlock-water-experts-say
1241996455	20250506	202505	2025	2025.3452											ARE	UNITED ARAB EMIRATES	ARE								1	173	173	17	4	-5.0	4	1	4	-7.97720797720798	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20250506020000	https://www.hindustantimes.com/trending/indian-billionaire-balvinder-singh-sahni-sentenced-to-5-years-in-jail-in-dubai-for-money-laundering-101746495485669.html
1241996456	20250506	202505	2025	2025.3452											AUS	AUSTRALIA	AUS								0	040	040	04	1	1.0	2	1	2	2.37430167597765	0								1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20250506020000	https://itbrief.co.nz/story/ai-powered-eh-hiring-tool-offers-free-job-matching-in-nz
1241996457	20250506	202505	2025	2025.3452											AUS	AUSTRALIAN	AUS								0	042	042	04	1	1.9	8	4	8	-2.19864402058214	0								4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20250506020000	https://www.cootamundraherald.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996458	20250506	202505	2025	2025.3452											AUS	AUSTRALIAN	AUS								0	042	042	04	1	1.9	4	1	4	-2.19575735020469	0								4	Mandurah, Western Australia, Australia	AS	AS08	5522	-32.5269	115.722	-1585527	4	Mandurah, Western Australia, Australia	AS	AS08	5522	-32.5269	115.722	-1585527	20250506020000	https://www.mandurahmail.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996459	20250506	202505	2025	2025.3452											AUS	AUSTRALIAN	AUS								0	042	042	04	1	1.9	50	7	50	-2.20023533079203	0								4	Marrickville, New South Wales, Australia	AS	AS02	5045	-33.9167	151.167	-1586038	4	Marrickville, New South Wales, Australia	AS	AS02	5045	-33.9167	151.167	-1586038	20250506020000	https://www.cootamundraherald.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996460	20250506	202505	2025	2025.3452											AUS	AUSTRALIAN	AUS								0	042	042	04	1	1.9	4	1	4	-2.19941348973607	0								4	Moruya, New South Wales, Australia	AS	AS02	4997	-35.9125	150.081	-1589024	4	Moruya, New South Wales, Australia	AS	AS02	4997	-35.9125	150.081	-1589024	20250506020000	https://www.batemansbaypost.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996461	20250506	202505	2025	2025.3452											AUS	AUSTRALIAN	AUS								0	042	042	04	1	1.9	4	1	4	-2.21402214022141	0								4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	20250506020000	https://www.naroomanewsonline.com.au/story/8958607/liberal-partys-internal-conflict-erupts-in-leadership-clash/
1241996462	20250506	202505	2025	2025.3452											AUS	TASMANIA	AUS								1	043	043	04	1	2.8	5	1	5	-1.77215189873418	0								4	Mandurah, Western Australia, Australia	AS	AS08	5522	-32.5269	115.722	-1585527	4	Mandurah, Western Australia, Australia	AS	AS08	5522	-32.5269	115.722	-1585527	20250506020000	https://www.mandurahmail.com.au/story/8959205/young-cancer-survivor-highlights-challenges-faced-by-her-demographic/
1241996463	20250506	202505	2025	2025.3452											AUS	TASMANIA	AUS								1	043	043	04	1	2.8	5	1	5	-1.79445350734094	0								4	Moruya, New South Wales, Australia	AS	AS02	4997	-35.9125	150.081	-1589024	4	Moruya, New South Wales, Australia	AS	AS02	4997	-35.9125	150.081	-1589024	20250506020000	https://www.batemansbaypost.com.au/story/8959205/young-cancer-survivor-highlights-challenges-faced-by-her-demographic/
1241996464	20250506	202505	2025	2025.3452											AUS	TASMANIA	AUS								1	043	043	04	1	2.8	5	1	5	-1.82119205298013	0								4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	20250506020000	https://www.naroomanewsonline.com.au/story/8959205/young-cancer-survivor-highlights-challenges-faced-by-her-demographic/
1241996465	20250506	202505	2025	2025.3452											AUS	SYDNEY	AUS								0	043	043	04	1	2.8	3	1	3	-0.45662100456621	0								4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250506020000	https://hotair.com/tree-hugging-sister/2025/05/05/the-met-gala-is-tonight-not-much-of-a-party-as-i-wasnt-invited-n3802465
1241996466	20250506	202505	2025	2025.3452											AUSBUS	AUSTRALIA	AUS					BUS			0	040	040	04	1	1.0	8	1	8	-0.53285968028419	0								4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	20250506020000	https://www.batemansbaypost.com.au/story/8958531/moruya-prepares-for-new-automatic-phone-exchange/
1241996467	20250506	202505	2025	2025.3452											AUSBUS	AUSTRALIA	AUS					BUS			0	046	046	04	1	7.0	8	1	8	-0.53285968028419	0								4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	20250506020000	https://www.batemansbaypost.com.au/story/8958531/moruya-prepares-for-new-automatic-phone-exchange/
1241996468	20250506	202505	2025	2025.3452											BUS	COMPANY						BUS			0	020	020	02	1	3.0	5	1	5	-3.05454545454546	0								3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	20250506020000	https://www.latimes.com/california/story/2025-05-05/copper-wire-thefts-are-leaving-seniors-in-south-l-a-without-phone-service
1241996469	20250506	202505	2025	2025.3452											BUS	COMPANY						BUS			1	036	036	03	1	4.0	10	1	10	0.46620046620046	0								4	Quebec, Quebec, Canada	CA	CA10	12750	47.5	-72	-571850	4	Quebec, Quebec, Canada	CA	CA10	12750	47.5	-72	-571850	20250506020000	https://www.finanznachrichten.de/nachrichten-2025-05/65307780-medaro-mining-corp-medaro-mining-announces-share-consolidation-296.htm
1241996470	20250506	202505	2025	2025.3452											BUS	BUSINESS						BUS			0	036	036	03	1	4.0	10	1	10	0.970873786407763	0								2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20250506020000	https://www.yahoo.com/news/u-air-traveler-alert-real-012100847.html
1241996471	20250506	202505	2025	2025.3452											BUS	INDUSTRY						BUS			0	036	036	03	1	4.0	10	1	10	0.79365079365079	0								1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20250506020000	https://www.advanced-television.com/2025/05/06/clarity-sought-on-us-film-production-tariffs/
1241996472	20250506	202505	2025	2025.3452											BUS	CHAMBER OF COMMERCE						BUS			0	040	040	04	1	1.0	2	1	2	-0.53285968028419	0								4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	20250506020000	https://www.batemansbaypost.com.au/story/8958531/moruya-prepares-for-new-automatic-phone-exchange/
1241996473	20250506	202505	2025	2025.3452											BUS	COMPANIES						BUS			1	040	040	04	1	1.0	5	1	5	-11.587147030185	0								2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	20250506020000	https://www.loscerritosnews.net/2025/05/05/how-does-comparative-negligence-affect-truck-accident-claims-in-new-jersey/
1241996474	20250506	202505	2025	2025.3452											BUS	TANKER						BUS			1	042	042	04	1	1.9	2	1	2	-3.21027287319422	0								4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20250506020000	https://www.hindustantimes.com/cities/mumbai-news/fire-breaks-out-at-pedder-road-boutique-8-rescued-101746471408143.html
1241996475	20250506	202505	2025	2025.3452											BUS	TANKER						BUS			1	042	042	04	1	1.9	8	1	8	-3.21027287319422	0								4	Byculla, Maharashtra, India	IN	IN16	70184	18.9667	72.8333	-2092501	4	Byculla, Maharashtra, India	IN	IN16	70184	18.9667	72.8333	-2092501	20250506020000	https://www.hindustantimes.com/cities/mumbai-news/fire-breaks-out-at-pedder-road-boutique-8-rescued-101746471408143.html
1241996476	20250506	202505	2025	2025.3452											BUS	INVESTOR						BUS			0	042	042	04	1	1.9	10	1	10	0.25	0								1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20250506020000	https://indianexpress.com/article/technology/openai-scraps-plan-to-restructure-into-for-profit-company-9984869/
1241996477	20250506	202505	2025	2025.3452											BUS	BUSINESS						BUS			1	043	043	04	1	2.8	5	1	5	1.93370165745856	0								4	Comal, Oaxaca, Mexico	MX	MX20	20565	15.85	-96.4833	-1658890	4	Comal, Oaxaca, Mexico	MX	MX20	20565	15.85	-96.4833	-1658890	20250506020000	https://keyt.com/news/top-stories/2025/05/05/business-slows-down-in-heart-of-santa-barbara-despite-cinco-de-mayo-holiday/
1241996478	20250506	202505	2025	2025.3452											BUS	CHAMBER OF COMMERCE						BUS			0	046	046	04	1	7.0	2	1	2	-0.53285968028419	0								4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	4	Narooma, New South Wales, Australia	AS	AS02	4997	-36.221	150.131	-1590896	20250506020000	https://www.batemansbaypost.com.au/story/8958531/moruya-prepares-for-new-automatic-phone-exchange/
