1243838492	20240514	202405	2024	2024.3671	USA	UNITED STATES	USA								GBR	UNITED KINGDOM	GBR								0	036	036	03	1	4.0	2	1	2	3.83275261324042	3	University Of Illinois, Illinois, United States	US	USIL	IL019	40.1086	-88.2284	420156	3	University Of Illinois, Illinois, United States	US	USIL		40.1086	-88.2284	420156	3	University Of Illinois, Illinois, United States	US	USIL		40.1086	-88.2284	420156	20250514180000	https://venturebeat.com/business/biocentury-to-host-grand-rounds-in-chicago-where-translational-science-meets-investors-and-dealmakers/
1243838493	20240514	202405	2024	2024.3671	USA	UNITED STATES	USA								GBREDU	UNITED KINGDOM	GBR					EDU			0	036	036	03	1	4.0	2	1	2	3.83275261324042	3	University Of Illinois, Illinois, United States	US	USIL	IL019	40.1086	-88.2284	420156	3	University Of Illinois, Illinois, United States	US	USIL		40.1086	-88.2284	420156	3	University Of Illinois, Illinois, United States	US	USIL		40.1086	-88.2284	420156	20250514180000	https://venturebeat.com/business/biocentury-to-host-grand-rounds-in-chicago-where-translational-science-meets-investors-and-dealmakers/
1243838494	20250414	202504	2025	2025.2849	CHE	SWISS	CHE								GBR	LIVERPOOL	GBR								1	030	030	03	1	4.0	2	1	2	0.645161290322579	4	Liverpool Bay, United Kingdom (general), United Kingdom	UK	UK00	40121	53.5333	-3.2	-2601423	4	Liverpool Bay, United Kingdom (general), United Kingdom	UK	UK00	40121	53.5333	-3.2	-2601423	4	Liverpool Bay, United Kingdom (general), United Kingdom	UK	UK00	40121	53.5333	-3.2	-2601423	20250514180000	https://www.thechemicalengineer.com/news/abb-wins-automation-contract-for-hynet-ccs-project/
1243838495	20250414	202504	2025	2025.2849	ISR	ISRAELI	ISR								USA	WASHINGTON	USA								0	020	020	02	1	3.0	2	1	2	-0.71138211382114	1	Syria	SY	SY		35	38	SY	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20250514180000	https://www.smdailyjournal.com/news/national/live-updates-trump-s-meeting-with-syria-s-new-president-could-mark-a-turning-point/article_ad112bfd-df7c-5190-af24-17d85c3a8dcb.html
1243838496	20250414	202504	2025	2025.2849	ISRGOV	ISRAELI	ISR					GOV			USA	WASHINGTON	USA								0	020	020	02	1	3.0	6	1	6	-0.71138211382114	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	20250514180000	https://www.smdailyjournal.com/news/national/live-updates-trump-s-meeting-with-syria-s-new-president-could-mark-a-turning-point/article_ad112bfd-df7c-5190-af24-17d85c3a8dcb.html
1243838497	20250414	202504	2025	2025.2849	ISRGOV	ISRAEL	ISR					GOV			USA	WASHINGTON	USA								0	042	042	04	1	1.9	2	1	2	-0.71138211382114	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20250514180000	https://www.smdailyjournal.com/news/national/live-updates-trump-s-meeting-with-syria-s-new-president-could-mark-a-turning-point/article_ad112bfd-df7c-5190-af24-17d85c3a8dcb.html
1243838498	20250414	202504	2025	2025.2849	ISRGOV	ISRAELI	ISR					GOV			USA	WASHINGTON	USA								0	042	042	04	1	1.9	6	1	6	-0.71138211382114	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250514180000	https://www.smdailyjournal.com/news/national/live-updates-trump-s-meeting-with-syria-s-new-president-could-mark-a-turning-point/article_ad112bfd-df7c-5190-af24-17d85c3a8dcb.html
1243838499	20250414	202504	2025	2025.2849	SAU	SAUDI ARABIA	SAU								SYR	DAMASCUS	SYR								0	010	010	01	1	0.0	2	1	2	-0.71138211382114	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	2	Indiana, United States	US	USIN		39.8647	-86.2604	IN	2	Indiana, United States	US	USIN		39.8647	-86.2604	IN	20250514180000	https://www.smdailyjournal.com/news/national/live-updates-trump-s-meeting-with-syria-s-new-president-could-mark-a-turning-point/article_ad112bfd-df7c-5190-af24-17d85c3a8dcb.html
1243838500	20250414	202504	2025	2025.2849	USA	WASHINGTON	USA								ISRGOV	ISRAEL	ISR					GOV			0	043	043	04	1	2.8	2	1	2	-0.71138211382114	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20250514180000	https://www.smdailyjournal.com/news/national/live-updates-trump-s-meeting-with-syria-s-new-president-could-mark-a-turning-point/article_ad112bfd-df7c-5190-af24-17d85c3a8dcb.html
1243838501	20250414	202504	2025	2025.2849	USA	WASHINGTON	USA								ISRGOV	ISRAELI	ISR					GOV			0	043	043	04	1	2.8	6	1	6	-0.71138211382114	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Tel Aviv, Tel Aviv, Israel	IS	IS05	18316	32.0667	34.7667	-781545	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250514180000	https://www.smdailyjournal.com/news/national/live-updates-trump-s-meeting-with-syria-s-new-president-could-mark-a-turning-point/article_ad112bfd-df7c-5190-af24-17d85c3a8dcb.html
1243838502	20250507	202505	2025	2025.3479	AUS	AUSTRALIA	AUS								SGPGOV	SINGAPORE	SGP					GOV			0	043	043	04	1	2.8	8	1	8	0.455580865603643	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	1	Singapore	SN	SN		1.366667	103.8	SN	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20250514180000	https://www.crookwellgazette.com.au/story/8967344/defence-tops-priority-list-for-pms-indonesia-visit/
1243838503	20250507	202505	2025	2025.3479	AUS	AUSTRALIA	AUS								SGPGOV	SINGAPORE	SGP					GOV			0	043	043	04	1	2.8	2	1	2	0.455580865603643	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	20250514180000	https://www.crookwellgazette.com.au/story/8967344/defence-tops-priority-list-for-pms-indonesia-visit/
1243838504	20250507	202505	2025	2025.3479	CAN	CANADA	CAN								COP	POLICE						COP			1	010	010	01	1	0.0	4	1	4	-3.84615384615384	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	20250514180000	https://www.cbc.ca/news/canada/north/calgary-police-investigate-pond-inlet-death-1.7534743
1243838505	20250507	202505	2025	2025.3479	CAN	CANADA	CAN								MDV	MALE	MDV								1	012	012	01	1	-0.4	4	1	4	-3.84615384615384	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	20250514180000	https://www.cbc.ca/news/canada/north/calgary-police-investigate-pond-inlet-death-1.7534743
1243838506	20250507	202505	2025	2025.3479	CAN	CANADA	CAN								MDV	MALE	MDV								1	042	042	04	1	1.9	4	1	4	-3.84615384615384	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	20250514180000	https://www.cbc.ca/news/canada/north/calgary-police-investigate-pond-inlet-death-1.7534743
1243838507	20250507	202505	2025	2025.3479	CAN	CANADA	CAN								MDV	MALE	MDV								1	060	060	06	2	6.0	4	1	4	-3.84615384615384	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	20250514180000	https://www.cbc.ca/news/canada/north/calgary-police-investigate-pond-inlet-death-1.7534743
1243838508	20250507	202505	2025	2025.3479	ISR	ISRAEL	ISR								MIL	MILITARY						MIL			1	110	110	11	3	-2.0	3	1	3	0.59880239520959	4	Jordan River, Israel (general), Israel	IS	IS00	65745	31.7633	35.5575	-780293	4	Jordan River, Israel (general), Israel	IS	IS00	65745	31.7633	35.5575	-780293	4	Jordan River, Israel (general), Israel	IS	IS00	65745	31.7633	35.5575	-780293	20250514180000	https://www.algemeiner.com/2025/05/14/could-trumps-trip-offer-a-new-hope-for-israeli-arab-alliances-in-the-middle-east/
1243838509	20250507	202505	2025	2025.3479	ISR	ISRAEL	ISR								MIL	MILITARY						MIL			1	110	110	11	3	-2.0	1	1	1	0.59880239520959	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250514180000	https://www.algemeiner.com/2025/05/14/could-trumps-trip-offer-a-new-hope-for-israeli-arab-alliances-in-the-middle-east/
1243838510	20250507	202505	2025	2025.3479	ISR	ISRAEL	ISR								MIL	MILITARY						MIL			1	110	110	11	3	-2.0	1	1	1	0.59880239520959	1	Qatar	QA	QA		25.5	51.25	QA	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	Qatar	QA	QA		25.5	51.25	QA	20250514180000	https://www.algemeiner.com/2025/05/14/could-trumps-trip-offer-a-new-hope-for-israeli-arab-alliances-in-the-middle-east/
1243838511	20250507	202505	2025	2025.3479	MDV	MALE	MDV								CAN	CANADA	CAN								1	043	043	04	1	2.8	4	1	4	-3.84615384615384	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	20250514180000	https://www.cbc.ca/news/canada/north/calgary-police-investigate-pond-inlet-death-1.7534743
1243838512	20250507	202505	2025	2025.3479	SGPGOV	SINGAPORE	SGP					GOV			AUS	AUSTRALIA	AUS								0	042	042	04	1	1.9	2	1	2	0.455580865603643	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	20250514180000	https://www.crookwellgazette.com.au/story/8967344/defence-tops-priority-list-for-pms-indonesia-visit/
1243838513	20250507	202505	2025	2025.3479	SGPGOV	SINGAPORE	SGP					GOV			AUS	AUSTRALIA	AUS								0	042	042	04	1	1.9	8	1	8	0.455580865603643	1	Singapore	SN	SN		1.366667	103.8	SN	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20250514180000	https://www.crookwellgazette.com.au/story/8967344/defence-tops-priority-list-for-pms-indonesia-visit/
1243838514	20250513	202505	2025	2025.3644	BHS	BAHAMA	BHS								MIL	DEFENCE FORCE						MIL			1	112	112	11	3	-2.0	8	1	8	-11.731843575419	4	New Providence, Bahamas, The (general), Bahamas, The	BF	BF00	5747	25.0333	-77.4	-1543842	4	New Providence, Bahamas, The (general), Bahamas, The	BF	BF00	5747	25.0333	-77.4	-1543842	4	New Providence, Bahamas, The (general), Bahamas, The	BF	BF00	5747	25.0333	-77.4	-1543842	20250514180000	https://www.tribune242.com/news/2025/may/14/marine-and-man-accused-of-sex-assault-of-teen-girl/
1243838515	20250513	202505	2025	2025.3644	BHS	BAHAMA	BHS								MIL	DEFENCE FORCE						MIL			1	180	180	18	4	-9.0	6	1	6	-11.731843575419	4	New Providence, Bahamas, The (general), Bahamas, The	BF	BF00	5747	25.0333	-77.4	-1543842	4	New Providence, Bahamas, The (general), Bahamas, The	BF	BF00	5747	25.0333	-77.4	-1543842	4	New Providence, Bahamas, The (general), Bahamas, The	BF	BF00	5747	25.0333	-77.4	-1543842	20250514180000	https://www.tribune242.com/news/2025/may/14/marine-and-man-accused-of-sex-assault-of-teen-girl/
1243838516	20250513	202505	2025	2025.3644	BHSMIL	BAHAMA	BHS					MIL													1	112	112	11	3	-2.0	2	1	2	-11.731843575419	4	New Providence, Bahamas, The (general), Bahamas, The	BF	BF00	5747	25.0333	-77.4	-1543842	0								4	New Providence, Bahamas, The (general), Bahamas, The	BF	BF00	5747	25.0333	-77.4	-1543842	20250514180000	https://www.tribune242.com/news/2025/may/14/marine-and-man-accused-of-sex-assault-of-teen-girl/
1243838517	20250513	202505	2025	2025.3644	BHSMIL	BAHAMA	BHS					MIL													1	180	180	18	4	-9.0	2	1	2	-11.731843575419	4	New Providence, Bahamas, The (general), Bahamas, The	BF	BF00	5747	25.0333	-77.4	-1543842	0								4	New Providence, Bahamas, The (general), Bahamas, The	BF	BF00	5747	25.0333	-77.4	-1543842	20250514180000	https://www.tribune242.com/news/2025/may/14/marine-and-man-accused-of-sex-assault-of-teen-girl/
1243838518	20250513	202505	2025	2025.3644	GOV	CROWN PRINCE						GOV													1	055	055	05	1	7.0	1	1	1	-3.66088631984585	1	Saudi Arabia	SA	SA		25	45	SA	0								4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	20250514180000	https://www.mediaite.com/news/mark-levin-invokes-9-11-while-fuming-over-trumps-chummy-tour-of-the-arab-world-these-are-terrorists/
1243838519	20250513	202505	2025	2025.3644	GOV	CROWN PRINCE						GOV													1	055	055	05	1	7.0	9	1	9	-3.66088631984585	1	Saudi Arabia	SA	SA		25	45	SA	0								1	Saudi Arabia	SA	SA		25	45	SA	20250514180000	https://www.mediaite.com/news/mark-levin-invokes-9-11-while-fuming-over-trumps-chummy-tour-of-the-arab-world-these-are-terrorists/
1243838520	20250513	202505	2025	2025.3644	JUD	LAWYER						JUD			CRM	CRIMINAL						CRM			1	111	111	11	3	-2.0	5	1	5	-13.0081300813008	0								0								0								20250514180000	https://www.tribune242.com/news/2025/may/14/dpp-decision-called-failure-of-justice/
1243838521	20250513	202505	2025	2025.3644	SAU	SAUDI ARABIA	SAU								SAUGOV	SAUDI ARABIA	SAU					GOV			0	010	010	01	1	0.0	1	1	1	-0.0545553737043099	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Idlib, Idlib, Syria	SY	SY12	26365	35.9306	36.6339	-2542538	4	Idlib, Idlib, Syria	SY	SY12	26365	35.9306	36.6339	-2542538	20250514180000	https://www.zerohedge.com/geopolitical/trump-praises-young-attractive-president-sharaa-founder-al-qaeda-syria-qatar-visit
1243838522	20250513	202505	2025	2025.3644	USA	THE US	USA								SAUGOV	SAUDI	SAU					GOV			0	010	010	01	1	0.0	6	1	6	-0.0545553737043099	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20250514180000	https://www.zerohedge.com/geopolitical/trump-praises-young-attractive-president-sharaa-founder-al-qaeda-syria-qatar-visit
1243838523	20250514	202505	2025	2025.3671											AUSMED	AUSTRALIAN	AUS					MED			1	1122	112	11	3	-2.0	6	2	6	-1.94417868490368	0								1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20250514180000	https://www.crookwellgazette.com.au/story/8967345/darkest-chapter-aussies-letter-from-chinese-jail/
1243838524	20250514	202505	2025	2025.3671											AUSMED	AUSTRALIAN	AUS					MED			1	173	173	17	4	-5.0	6	2	6	-1.94417868490368	0								1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20250514180000	https://www.crookwellgazette.com.au/story/8967345/darkest-chapter-aussies-letter-from-chinese-jail/
1243838525	20250514	202505	2025	2025.3671											BHSJUD	BAHAMA	BHS					JUD			0	042	042	04	1	1.9	2	1	2	-11.731843575419	0								4	New Providence, Bahamas, The (general), Bahamas, The	BF	BF00	5747	25.0333	-77.4	-1543842	4	New Providence, Bahamas, The (general), Bahamas, The	BF	BF00	5747	25.0333	-77.4	-1543842	20250514180000	https://www.tribune242.com/news/2025/may/14/marine-and-man-accused-of-sex-assault-of-teen-girl/
1243838526	20250514	202505	2025	2025.3671											BUS	BOSS						BUS			1	040	040	04	1	1.0	6	1	6	-2.56797583081571	0								4	Salisbury, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	4	Salisbury, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	20250514180000	https://www.themag.co.uk/2025/05/michael-owen-and-pgmol-chief-analyse-these-two-newcastle-united-penalty-decisions-howard-webb/
1243838527	20250514	202505	2025	2025.3671											BUS	BUSINESS						BUS			1	050	050	05	1	3.5	2	1	2	1.86335403726708	0								1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20250514180000	https://www.businessinsider.com/trump-escorted-cybertruck-motorcade-qatar-2025-5
1243838528	20250514	202505	2025	2025.3671											CAN	CANADA	CAN								1	042	042	04	1	1.9	8	1	8	3.93013100436681	0								4	Shoal Bay, British Columbia, Canada	CA	CA02	190729	50.45	-125.367	-574793	4	Shoal Bay, British Columbia, Canada	CA	CA02	190729	50.45	-125.367	-574793	20250514180000	https://www.ladysmithchronicle.com/trending-now/museum-at-campbell-river-launches-2025-history-on-the-water-guided-boat-tours-8004495
1243838529	20250514	202505	2025	2025.3671											CAN	CANADIAN	CAN								1	051	051	05	1	3.4	30	3	30	0.187265917603	0								2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Alaska, United States	US	USAK		61.385	-152.268	AK	20250514180000	https://www.aldergrovestar.com/news/alaska-highway-signs-near-whitehorse-briefly-given-yukon-highway-label-in-protest-8007153
1243838530	20250514	202505	2025	2025.3671											CAN	CANADA	CAN								0	130	130	13	3	-4.4	4	1	4	-0.99585062240664	0								4	Airdrie, Alberta, Canada	CA	CA01	154724	51.2667	-114.017	-559949	4	Airdrie, Alberta, Canada	CA	CA01	154724	51.2667	-114.017	-559949	20250514180000	https://www.edmontonexaminer.com:443/news/local-news/alberta-optometrist-urges-regular-eye-exams-overall-health/wcm/62cfd8cd-1f1e-4e60-8716-bb4bbb0a51fb
1243838531	20250514	202505	2025	2025.3671											CHRPRO300	PRESBYTERIAN				CHR	PRO				1	036	036	03	1	4.0	4	1	4	2.58780036968576	0								3	First Presbyterian Church, Washington, United States	US	USWA		47.6082	-122.328	2461173	3	First Presbyterian Church, Washington, United States	US	USWA		47.6082	-122.328	2461173	20250514180000	https://www.morrowcountysentinel.com/2025/05/14/community-calendar-241/
1243838532	20250514	202505	2025	2025.3671											COP	POLICE FORCE						COP			1	043	043	04	1	2.8	12	1	12	-1.14942528735632	0								1	Saint Lucia	ST	ST		13.883333	-60.966667	ST	4	Georgetown, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8	-58.15	-919880	20250514180000	https://www.virginislandsnewsonline.com/en/news/acop-jacqueline-e-vanterpool-standing-tall-police-conference-in-guyana
1243838533	20250514	202505	2025	2025.3671											COP	POLICE FORCE						COP			1	043	043	04	1	2.8	8	1	8	-1.14942528735632	0								1	Saint Lucia	ST	ST		13.883333	-60.966667	ST	1	Saint Lucia	ST	ST		13.883333	-60.966667	ST	20250514180000	https://www.virginislandsnewsonline.com/en/news/acop-jacqueline-e-vanterpool-standing-tall-police-conference-in-guyana
1243838534	20250514	202505	2025	2025.3671											COP	PRISON						COP			1	173	173	17	4	-5.0	2	1	2	-9.83606557377049	0								1	Azerbaijan	AJ	AJ		40.5	47.5	AJ	1	Azerbaijan	AJ	AJ		40.5	47.5	AJ	20250514180000	https://en.apa.az/cis-countries/russian-authorities-place-azerbaijani-blogger-huseyn-hasanov-on-wanted-list-467589
1243838535	20250514	202505	2025	2025.3671											COP	POLICE						COP			0	190	190	19	4	-10.0	20	1	20	-3.48376880443389	0								4	Zapopan, Jalisco, Mexico	MX	MX14	20887	20.7167	-103.4	-1709119	4	Zapopan, Jalisco, Mexico	MX	MX14	20887	20.7167	-103.4	-1709119	20250514180000	https://www.boredpanda.com/23-year-old-influencer-fatally-shot-while-live-streaming-to-followers/?cexp_id=124979&cexp_var=25&_f=featured
1243838536	20250514	202505	2025	2025.3671											CRM	CRIMINAL						CRM			1	112	112	11	3	-2.0	1	1	1	-10.6481481481481	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	1	El Salvador	ES	ES		13.833333	-88.916667	ES	20250514180000	https://hotair.com/headlines/2025/05/14/turns-out-another-choirboy-sent-to-el-salvador-isnt-so-much-n3802737
1243838537	20250514	202505	2025	2025.3671											CRM	CRIMINAL						CRM			1	112	112	11	3	-2.0	1	1	1	-10.6481481481481	0								1	Venezuela	VE	VE		8	-66	VE	1	Venezuela	VE	VE		8	-66	VE	20250514180000	https://hotair.com/headlines/2025/05/14/turns-out-another-choirboy-sent-to-el-salvador-isnt-so-much-n3802737
1243838538	20250514	202505	2025	2025.3671											CRM	GANGSTER						CRM			0	1121	112	11	3	-2.0	8	1	8	-4.78011472275335	0								4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	20250514180000	https://indianexpress.com/article/cities/pune/5-cops-suspended-after-gangster-gaja-marne-during-transit-between-jails-10006672/
