One occupation for multiple industries,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Occupation: Data Scientists (SOC code 15-2051),,,,,,,,,,,,,,,
Period: May 2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Occupation (SOC code),Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2)
Utility System Construction (23-7100),140,10.3,$30.80,"$64,060",2.0,$19.72,$23.79,$23.98,$36.22,$53.53,"$41,010","$49,480","$49,880","$75,330","$111,340"
Power and Communication Line and Related Structures Construction (23-7130),120,8.7,$29.42,"$61,200",2.5,$19.72,$21.81,$23.98,$31.56,$47.52,"$41,010","$45,360","$49,880","$65,650","$98,840"
Specialty Trade Contractors (23-8000),170,14.1,$43.84,"$91,190",5.4,$24.59,$31.62,$38.14,$55.30,$70.89,"$51,150","$65,770","$79,340","$115,030","$147,450"
Building Equipment Contractors (23-8200),130,19.2,$44.91,"$93,410",6.7,$23.40,$29.51,$36.89,$62.71,$71.43,"$48,680","$61,370","$76,730","$130,440","$148,570"
Electrical Contractors and Other Wiring Installation Contractors (23-8210),90,21.3,$40.29,"$83,810",7.0,$21.61,$27.95,$34.42,$48.69,$66.13,"$44,940","$58,130","$71,600","$101,280","$137,540"
Other Building Equipment Contractors (23-8290),30,40.5,$52.83,"$109,880",16.4,$25.55,$33.41,$55.30,$70.89,$73.24,"$53,150","$69,490","$115,030","$147,450","$152,330"
"Sectors 31, 32, and 33 - Manufacturing (31---34)","8,190",1.9,$60.63,"$126,110",0.7,$32.20,$42.91,$58.27,$76.53,$94.50,"$66,980","$89,250","$121,200","$159,190","$196,560"
Food Manufacturing (31-1000),310,7.4,$46.67,"$97,070",3.3,$24.74,$34.93,$44.45,$52.50,$71.98,"$51,460","$72,650","$92,460","$109,190","$149,720"
Dairy Product Manufacturing (31-1500),60,14.3,$52.54,"$109,290",1.8,$36.15,$41.81,$47.83,$57.48,$84.75,"$75,190","$86,970","$99,480","$119,560","$176,280"
Animal Slaughtering and Processing (31-1600),30,15.3,$42.03,"$87,430",1.6,$26.05,$35.47,$44.27,$49.09,$55.14,"$54,190","$73,770","$92,070","$102,100","$114,700"
Bakeries and Tortilla Manufacturing (31-1800),60,17.6,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -
Other Food Manufacturing (31-1900),80,19.1,$46.12,"$95,930",5.6,$24.74,$37.28,$44.76,$53.41,$69.30,"$51,460","$77,540","$93,100","$111,090","$144,140"
Beverage and Tobacco Product Manufacturing (31-2000),90,15.6,$51.24,"$106,570",2.3,$33.66,$41.99,$48.15,$62.23,$70.77,"$70,010","$87,330","$100,150","$129,440","$147,200"
Beverage Manufacturing (31-2100),90,15.9,$50.72,"$105,490",2.2,$33.66,$41.99,$48.14,$62.12,$70.77,"$70,010","$87,330","$100,140","$129,220","$147,200"
Paper Manufacturing (32-2000),40,25.3,$41.96,"$87,280",3.1,$23.02,$28.89,$43.07,$50.73,$66.13,"$47,870","$60,100","$89,590","$105,520","$137,540"
Printing and Related Support Activities (32-3000),190,17.2,$42.88,"$89,180",5.0,$24.23,$28.75,$38.65,$50.96,$67.78,"$50,390","$59,800","$80,390","$105,990","$140,980"
Printing and Related Support Activities (32-3100),190,17.2,$42.88,"$89,180",5.0,$24.23,$28.75,$38.65,$50.96,$67.78,"$50,390","$59,800","$80,390","$105,990","$140,980"
Petroleum and Coal Products Manufacturing (32-4000),90,32.8,$57.98,"$120,600",10.4,$33.05,$35.31,$60.23,$71.85,$86.77,"$68,740","$73,450","$125,270","$149,440","$180,480"
Petroleum and Coal Products Manufacturing (32-4100),90,32.8,$57.98,"$120,600",10.4,$33.05,$35.31,$60.23,$71.85,$86.77,"$68,740","$73,450","$125,270","$149,440","$180,480"
Chemical Manufacturing (32-5000),"1,510",2.8,$61.15,"$127,180",0.9,$35.50,$46.02,$59.78,$73.55,$86.52,"$73,850","$95,730","$124,350","$152,990","$179,970"
"Chemical Manufacturing (3251, 3252, 3253, and 3259 only) (32-50A1)",310,11.9,$50.57,"$105,190",1.5,$30.94,$39.87,$48.13,$55.50,$69.11,"$64,360","$82,930","$100,100","$115,440","$143,760"
Chemical Manufacturing (3255 and 3256 only) (32-50A2),60,14.7,$44.49,"$92,540",6.8,$24.75,$30.62,$37.63,$57.35,$71.73,"$51,470","$63,690","$78,270","$119,290","$149,210"
Pharmaceutical and Medicine Manufacturing (32-5400),"1,140",2.0,$64.88,"$134,960",0.8,$38.21,$50.20,$64.38,$80.23,$86.84,"$79,470","$104,420","$133,900","$166,890","$180,630"
Plastics and Rubber Products Manufacturing (32-6000),180,7.2,$42.44,"$88,270",6.9,$25.93,$29.38,$38.99,$46.92,$63.58,"$53,920","$61,120","$81,100","$97,590","$132,240"
Plastics Product Manufacturing (32-6100),160,6.3,$40.33,"$83,880",2.7,$25.93,$29.11,$37.66,$46.87,$61.37,"$53,920","$60,550","$78,330","$97,490","$127,650"
Nonmetallic Mineral Product Manufacturing (32-7000),30,10.3,$53.30,"$110,870",6.2,$27.70,$33.60,$51.78,$69.31,$79.52,"$57,610","$69,880","$107,700","$144,160","$165,400"
Primary Metal Manufacturing (33-1000),70,5.6,$44.66,"$92,890",2.0,$30.23,$36.26,$41.93,$50.48,$60.00,"$62,880","$75,410","$87,210","$105,000","$124,810"
Fabricated Metal Product Manufacturing (33-2000),160,8.3,$44.92,"$93,430",2.0,$29.27,$34.90,$42.15,$54.20,$63.00,"$60,880","$72,590","$87,660","$112,740","$131,040"
"Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329) (33-20A1)",110,12.0,$42.80,"$89,010",3.0,$24.41,$33.06,$39.42,$51.06,$61.94,"$50,780","$68,770","$81,990","$106,200","$128,840"
Machinery Manufacturing (33-3000),570,3.3,$49.09,"$102,110",1.1,$27.59,$37.51,$47.62,$60.79,$71.34,"$57,390","$78,010","$99,050","$126,450","$148,390"
"Machinery Manufacturing (3331, 3332, 3334, and 3339 only) (33-30A1)",370,4.4,$48.46,"$100,790",1.7,$24.10,$36.16,$47.48,$60.97,$73.44,"$50,130","$75,210","$98,760","$126,820","$152,750"
Commercial and Service Industry Machinery Manufacturing (33-3300),70,12.2,$50.58,"$105,200",2.3,$31.03,$38.14,$47.62,$58.54,$69.68,"$64,540","$79,340","$99,050","$121,760","$144,930"
Metalworking Machinery Manufacturing (33-3500),40,21.4,$40.22,"$83,650",3.1,$30.57,$32.78,$39.36,$44.68,$48.56,"$63,580","$68,180","$81,860","$92,930","$101,000"
"Engine, Turbine, and Power Transmission Equipment Manufacturing (33-3600)",90,6.5,$54.86,"$114,110",1.5,$37.82,$46.00,$54.39,$63.21,$74.68,"$78,670","$95,690","$113,130","$131,480","$155,330"
Computer and Electronic Product Manufacturing (33-4000),"2,860",3.8,$70.89,"$147,450",1.5,$37.48,$51.81,$68.02,$87.33,$100.64,"$77,950","$107,760","$141,480","$181,640","$209,320"
Computer and Peripheral Equipment Manufacturing (33-4100),860,4.9,$82.58,"$171,760",1.2,$50.41,$62.58,$83.58,$100.64,$104.98,"$104,860","$130,170","$173,850","$209,320","$218,350"
Communications Equipment Manufacturing (33-4200),110,6.1,$61.23,"$127,360",2.5,$29.07,$42.18,$66.85,$81.90,$85.96,"$60,460","$87,730","$139,050","$170,350","$178,810"
Semiconductor and Other Electronic Component Manufacturing (33-4400),800,2.4,$75.80,"$157,670",0.8,$43.40,$63.75,$74.73,$88.51,$108.65,"$90,270","$132,590","$155,440","$184,090","$225,990"
"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing (33-4500)",900,10.1,$58.94,"$122,600",4.3,$28.53,$42.86,$58.96,$75.49,$84.67,"$59,330","$89,140","$122,640","$157,030","$176,100"
Manufacturing and Reproducing Magnetic and Optical Media (33-4600),160,20.3,$58.97,"$122,660",9.2,$36.54,$42.56,$45.67,$75.53,$88.78,"$76,010","$88,530","$94,990","$157,100","$184,660"
"Electrical Equipment, Appliance, and Component Manufacturing (33-5000)",190,23.0,$47.05,"$97,870",5.5,$31.80,$39.09,$49.86,$55.73,$57.28,"$66,150","$81,300","$103,720","$115,930","$119,140"
Other Electrical Equipment and Component Manufacturing (33-5900),130,32.3,$49.71,"$103,390",6.1,$36.94,$46.23,$51.89,$56.88,$57.30,"$76,840","$96,150","$107,940","$118,310","$119,190"
Transportation Equipment Manufacturing (33-6000),"1,390",5.4,$60.55,"$125,950",1.4,$35.74,$47.84,$60.35,$75.76,$84.26,"$74,350","$99,510","$125,520","$157,570","$175,260"
Motor Vehicle Manufacturing (33-6100),260,4.2,$67.31,"$140,000",1.6,$40.54,$55.94,$63.84,$78.57,$99.59,"$84,320","$116,360","$132,790","$163,430","$207,150"
Motor Vehicle Parts Manufacturing (33-6300),180,22.9,$47.94,"$99,710",3.8,$30.86,$36.64,$47.39,$63.25,$63.37,"$64,190","$76,220","$98,570","$131,560","$131,800"
Aerospace Product and Parts Manufacturing (33-6400),880,7.7,$62.49,"$129,970",1.4,$38.69,$48.41,$60.35,$76.66,$88.42,"$80,480","$100,690","$125,530","$159,440","$183,920"
Furniture and Related Product Manufacturing (33-7000),70,4.0,$41.80,"$86,930",1.9,$27.05,$32.20,$35.11,$49.94,$64.93,"$56,270","$66,980","$73,020","$103,880","$135,060"
Furniture and Related Product Manufacturing (3371 and 3372 only) (33-70A1),70,3.6,$41.41,"$86,130",2.0,$26.88,$32.20,$35.11,$49.94,$64.93,"$55,920","$66,980","$73,020","$103,880","$135,060"
Miscellaneous Manufacturing (33-9000),380,8.0,$54.87,"$114,120",2.2,$33.62,$39.76,$49.91,$65.97,$84.04,"$69,920","$82,690","$103,820","$137,210","$174,810"
Medical Equipment and Supplies Manufacturing (33-9100),270,10.4,$58.43,"$121,530",2.6,$36.97,$43.38,$50.97,$71.90,$89.01,"$76,890","$90,230","$106,020","$149,550","$185,140"
Other Miscellaneous Manufacturing (33-9900),110,10.6,$45.71,"$95,070",4.4,$27.81,$36.29,$40.35,$50.36,$68.03,"$57,840","$75,480","$83,930","$104,740","$141,510"
Sector 42 - Wholesale Trade (42---43),"6,790",5.6,$55.64,"$115,740",2.9,$26.71,$37.25,$52.20,$69.20,$86.32,"$55,560","$77,480","$108,580","$143,930","$179,550"
"Merchant Wholesalers, Durable Goods (42-3000)","4,300",8.1,$55.01,"$114,430",3.9,$22.80,$35.76,$50.53,$69.20,$85.19,"$47,420","$74,390","$105,090","$143,930","$177,200"
"Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only) (42-30A1)","1,030",8.3,$51.24,"$106,580",6.8,$23.64,$31.85,$42.64,$62.25,$83.33,"$49,180","$66,250","$88,690","$129,480","$173,320"
Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers (42-3100),300,12.5,$59.74,"$124,270",4.2,$29.17,$41.23,$58.18,$78.12,$93.67,"$60,670","$85,750","$121,010","$162,480","$194,840"
Professional and Commercial Equipment and Supplies Merchant Wholesalers (42-3400),"2,540",14.5,$57.32,"$119,230",7.0,$17.75,$38.00,$56.75,$73.69,$92.37,"$36,920","$79,040","$118,030","$153,280","$192,130"
"Machinery, Equipment, and Supplies Merchant Wholesalers (42-3800)",440,6.9,$47.31,"$98,390",2.0,$26.86,$33.90,$48.28,$59.79,$66.13,"$55,870","$70,510","$100,420","$124,360","$137,540"
Farm and Garden Machinery and Equipment Merchant Wholesalers (42-3820),150,6.3,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -
"Merchant Wholesalers, Nondurable Goods (42-4000)","1,670",7.8,$55.62,"$115,690",2.8,$28.89,$36.41,$49.34,$71.37,$91.58,"$60,080","$75,730","$102,620","$148,440","$190,480"
"Merchant Wholesalers, Nondurable Goods (4244 and 4248 only) (42-40A1)",390,9.3,$46.06,"$95,810",2.2,$26.53,$32.56,$43.57,$59.15,$65.15,"$55,180","$67,720","$90,630","$123,030","$135,510"
"Merchant Wholesalers, Nondurable Goods (4242 and 4246 only) (42-40A2)","1,060",11.6,$60.60,"$126,050",4.4,$30.68,$38.44,$58.70,$79.93,$98.38,"$63,820","$79,950","$122,100","$166,260","$204,630"
"Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only) (42-40A3)",130,12.8,$37.97,"$78,990",3.9,$25.37,$29.53,$35.60,$42.00,$53.01,"$52,770","$61,420","$74,050","$87,370","$110,250"
"Apparel, Piece Goods, and Notions Merchant Wholesalers (42-4300)",90,28.5,$66.93,"$139,210",17.8,$36.42,$39.15,$47.74,$103.13,(5) -,"$75,740","$81,420","$99,310","$214,500",(5) -
Wholesale Trade Agents and Brokers (42-5000),820,12.7,$59.01,"$122,740",3.2,$36.15,$50.13,$54.96,$67.30,$81.98,"$75,200","$104,280","$114,310","$139,990","$170,510"
Wholesale Trade Agents and Brokers (42-5100),820,12.7,$59.01,"$122,740",3.2,$36.15,$50.13,$54.96,$67.30,$81.98,"$75,200","$104,280","$114,310","$139,990","$170,510"
Sectors 44 and 45 - Retail Trade (44---46),"1,950",9.8,$60.84,"$126,550",6.0,$24.60,$37.25,$59.36,$81.08,$98.55,"$51,160","$77,480","$123,480","$168,640","$204,980"
Motor Vehicle and Parts Dealers (44-1000),120,22.7,$58.87,"$122,460",5.9,$31.33,$40.24,$63.96,$74.63,$83.82,"$65,160","$83,700","$133,030","$155,230","$174,350"
Automobile Dealers (44-1100),80,18.7,$55.33,"$115,090",7.8,$31.21,$33.65,$47.88,$67.73,$83.82,"$64,910","$69,990","$99,590","$140,870","$174,350"
"Automotive Parts, Accessories, and Tire Retailers (44-1300)",40,48.6,$66.75,"$138,840",20.7,$48.90,$52.25,$69.54,$74.64,$74.68,"$101,710","$108,680","$144,640","$155,240","$155,330"
Building Material and Garden Equipment and Supplies Dealers (44-4000),40,23.9,$55.51,"$115,450",8.3,$32.22,$40.54,$50.67,$66.23,$80.24,"$67,010","$84,320","$105,390","$137,750","$166,900"
Building Material and Supplies Dealers (44-4100),30,32.5,$57.07,"$118,700",8.7,$28.88,$34.38,$64.61,$66.38,$80.24,"$60,080","$71,520","$134,380","$138,060","$166,900"
Food and Beverage Retailers (44-5000),120,10.2,$32.67,"$67,950",6.9,$20.12,$21.78,$27.39,$39.88,$63.10,"$41,850","$45,290","$56,960","$82,950","$131,240"
Food and Beverage Retailers (4451 and 4452 only) (44-50A1),120,10.9,$32.99,"$68,610",7.1,$20.12,$21.69,$27.44,$40.54,$63.10,"$41,850","$45,120","$57,080","$84,320","$131,250"
"Furniture, Home Furnishings, Electronics, and Appliance Retailers (44-9000)",130,26.1,$62.15,"$129,260",10.4,$37.62,$43.17,$54.00,$76.01,$111.75,"$78,240","$89,790","$112,310","$158,090","$232,440"
Furniture and Home Furnishings Retailers (44-9100),100,34.8,$54.57,"$113,510",5.9,$31.59,$41.22,$49.22,$64.73,$78.31,"$65,720","$85,730","$102,370","$134,640","$162,890"
General Merchandise Retailers (45-5000),80,28.0,$59.52,"$123,800",9.9,$32.94,$42.03,$58.67,$73.41,$87.43,"$68,510","$87,420","$122,040","$152,690","$181,850"
Health and Personal Care Retailers (45-6000),690,19.0,$65.00,"$135,190",6.1,$29.65,$48.04,$65.88,$81.30,$93.82,"$61,680","$99,930","$137,030","$169,100","$195,140"
Health and Personal Care Retailers (45-6100),690,19.0,$65.00,"$135,190",6.1,$29.65,$48.04,$65.88,$81.30,$93.82,"$61,680","$99,930","$137,030","$169,100","$195,140"
Pharmacies and Drug Retailers (45-6110),420,25.1,$65.18,"$135,570",9.4,$21.59,$46.95,$64.03,$93.82,$99.08,"$44,920","$97,650","$133,170","$195,140","$206,080"
"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers (45-8000)",290,39.1,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -
Clothing and Clothing Accessories Retailers (45-8100),260,44.3,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -
"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers (45-9000)",480,12.9,$51.54,"$107,210",4.0,$23.47,$32.24,$43.26,$65.96,$92.91,"$48,820","$67,050","$89,980","$137,200","$193,250"
Miscellaneous Store Retailers (4594 and 4595 only) (45-90A1),120,27.5,$52.68,"$109,570",6.2,$32.10,$36.20,$39.03,$64.62,$82.70,"$66,770","$75,290","$81,180","$134,420","$172,020"
"Sporting Goods, Hobby, and Musical Instrument Retailers (45-9100)",100,21.8,$40.01,"$83,220",5.5,$23.42,$24.25,$29.24,$50.86,$69.78,"$48,710","$50,440","$60,820","$105,780","$145,140"
Sporting Goods Retailers (45-9110),80,20.9,$42.77,"$88,950",4.6,$24.25,$24.25,$30.09,$50.86,$76.92,"$50,440","$50,450","$62,580","$105,780","$159,990"
Other Miscellaneous Retailers (45-9900),250,12.6,$55.61,"$115,670",6.2,$21.41,$36.64,$48.26,$73.22,$98.55,"$44,540","$76,200","$100,380","$152,300","$204,980"
Sectors 48 and 49 - Transportation and Warehousing (48---50),"1,950",4.2,$49.83,"$103,640",2.1,$24.63,$31.70,$40.85,$61.97,$84.33,"$51,220","$65,940","$84,960","$128,890","$175,400"
Air Transportation (48-1000),50,9.4,$50.99,"$106,060",4.4,$24.61,$32.47,$50.45,$61.75,$82.09,"$51,180","$67,530","$104,940","$128,440","$170,750"
Scheduled Air Transportation (48-1100),40,12.6,$55.03,"$114,470",6.5,$23.39,$32.94,$51.37,$80.71,$82.09,"$48,650","$68,510","$106,860","$167,880","$170,750"
Water Transportation (48-3000),100,9.7,$64.34,"$133,830",3.5,$44.64,$47.22,$47.36,$79.65,$82.57,"$92,850","$98,210","$98,510","$165,670","$171,750"
"Deep Sea, Coastal, and Great Lakes Water Transportation (48-3100)",100,9.7,$64.34,"$133,830",3.5,$44.64,$47.22,$47.36,$79.65,$82.57,"$92,850","$98,210","$98,510","$165,670","$171,750"
Truck Transportation (48-4000),120,21.9,$44.89,"$93,380",8.6,$16.77,$28.94,$39.22,$59.04,$91.47,"$34,880","$60,200","$81,580","$122,800","$190,260"
Transit and Ground Passenger Transportation (48-5000),250,6.2,$79.74,"$165,850",2.6,$40.98,$61.69,$79.15,$100.12,$107.04,"$85,230","$128,310","$164,630","$208,250","$222,640"
Taxi and Limousine Service (48-5300),220,2.2,$83.16,"$172,970",0.9,$50.16,$61.97,$79.15,$100.12,$107.04,"$104,320","$128,890","$164,630","$208,250","$222,640"
Pipeline Transportation (48-6000),160,16.4,$42.78,"$88,990",4.2,$26.99,$28.97,$37.10,$50.87,$66.26,"$56,150","$60,250","$77,160","$105,800","$137,830"
Pipeline Transportation of Crude Oil (48-6100),60,33.9,$36.01,"$74,900",10.4,$29.91,$33.66,$36.53,$39.13,$40.79,"$62,210","$70,010","$75,980","$81,390","$84,850"
Pipeline Transportation of Natural Gas (48-6200),90,26.9,$41.98,"$87,320",3.4,$26.99,$28.08,$36.95,$58.73,$66.18,"$56,150","$58,410","$76,860","$122,160","$137,660"
Support Activities for Transportation (48-8000),390,8.8,$45.42,"$94,470",3.2,$28.75,$34.61,$41.93,$54.13,$71.20,"$59,790","$71,990","$87,210","$112,600","$148,100"
Support Activities for Air Transportation (48-8100),170,21.1,$42.54,"$88,490",6.8,$26.16,$32.78,$41.48,$54.13,$67.56,"$54,400","$68,180","$86,270","$112,600","$140,520"
Freight Transportation Arrangement (48-8500),170,9.9,$49.26,"$102,470",2.4,$31.58,$35.69,$43.88,$55.43,$81.25,"$65,680","$74,230","$91,270","$115,290","$168,990"
Couriers and Messengers (49-2000),180,18.3,$67.61,"$140,630",13.5,$30.79,$40.75,$59.83,$84.33,(5) -,"$64,050","$84,760","$124,450","$175,400",(5) -
Local Messengers and Local Delivery (49-2200),160,21.1,$68.37,"$142,200",16.3,$30.72,$40.18,$59.83,$84.33,(5) -,"$63,890","$83,570","$124,450","$175,400",(5) -
Warehousing and Storage (49-3000),660,10.0,$36.82,"$76,590",2.6,$18.78,$28.58,$37.08,$39.75,$56.65,"$39,060","$59,440","$77,120","$82,680","$117,830"
Warehousing and Storage (49-3100),660,10.0,$36.82,"$76,590",2.6,$18.78,$28.58,$37.08,$39.75,$56.65,"$39,060","$59,440","$77,120","$82,680","$117,830"
Sector 51 - Information (51---52),"22,240",3.1,$68.84,"$143,180",1.3,$29.68,$44.15,$65.38,$84.34,$105.05,"$61,740","$91,830","$135,990","$175,420","$218,500"
Motion Picture and Sound Recording Industries (51-2000),660,11.3,$66.73,"$138,800",1.8,$30.00,$47.00,$64.36,$87.54,$101.73,"$62,410","$97,750","$133,880","$182,080","$211,600"
Motion Picture and Video Industries (51-2100),630,11.6,$67.83,"$141,090",1.7,$30.00,$47.07,$65.18,$87.62,$101.73,"$62,410","$97,910","$135,570","$182,250","$211,600"
Sound Recording Industries (51-2200),40,29.2,$47.79,"$99,390",8.7,$33.65,$34.93,$43.26,$53.05,$76.05,"$69,990","$72,660","$89,980","$110,350","$158,180"
Publishing Industries (51-3000),"9,340",7.1,$69.99,"$145,570",2.6,$33.14,$46.73,$65.97,$82.69,$106.33,"$68,930","$97,210","$137,220","$172,000","$221,160"
"Newspaper, Periodical, Book, and Directory Publishers (51-3100)","1,260",7.5,$57.78,"$120,180",2.9,$27.82,$37.30,$54.97,$72.57,$92.21,"$57,860","$77,590","$114,340","$150,940","$191,800"
Newspaper Publishers (51-3110),100,15.9,$53.17,"$110,590",7.8,$28.22,$32.28,$46.11,$68.66,$89.49,"$58,700","$67,150","$95,920","$142,820","$186,140"
Software Publishers (51-3200),"8,080",7.7,$71.89,"$149,530",2.8,$34.66,$48.34,$68.43,$83.59,$106.82,"$72,090","$100,560","$142,330","$173,870","$222,190"
Broadcasting and Content Providers (51-6000),"2,590",5.0,$77.27,"$160,730",2.0,$35.61,$57.70,$82.63,$99.37,$106.44,"$74,060","$120,020","$171,860","$206,690","$221,400"
Radio and Television Broadcasting Stations (51-6100),180,10.0,$52.38,"$108,950",4.7,$34.79,$38.50,$44.08,$58.32,$91.38,"$72,350","$80,070","$91,680","$121,310","$190,070"
Television Broadcasting Stations (51-6120),160,10.6,$53.01,"$110,250",3.7,$35.90,$40.86,$44.10,$56.46,$92.77,"$74,680","$84,990","$91,720","$117,430","$192,950"
"Media Streaming Distribution Services, Social Networks, and Other Media Networks & Content Providers (51-6200)","2,410",5.4,$79.18,"$164,690",2.0,$35.88,$63.04,$83.14,$101.16,$106.44,"$74,630","$131,120","$172,930","$210,410","$221,400"
Telecommunications (51-7000),"1,400",5.8,$56.24,"$116,990",3.1,$29.52,$37.38,$52.70,$71.60,$85.16,"$61,410","$77,750","$109,620","$148,930","$177,120"
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services (51-8000)","6,160",13.5,$63.41,"$131,900",2.2,$25.56,$37.35,$62.04,$82.02,$103.35,"$53,170","$77,690","$129,030","$170,610","$214,970"
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services (51-8200)","6,160",13.5,$63.41,"$131,900",2.2,$25.56,$37.35,$62.04,$82.02,$103.35,"$53,170","$77,690","$129,030","$170,610","$214,970"
"Web Search Portals, Libraries, Archives, and Other Information Services (51-9000)","2,090",9.9,$78.36,"$163,000",3.2,$24.23,$45.38,$71.11,$101.47,(5) -,"$50,400","$94,390","$147,900","$211,050",(5) -
